dataset,model,label,n,prevalence,predicted_rate,precision,recall,specificity,balanced_accuracy,tp,tn,fp,fn
uca,qwen25vl_7b,take,6432,0.06358830845771145,0.0,,0.0,1.0,0.5,0,6023,0,409
uca,qwen25vl_7b,enterexit,6432,0.05068407960199005,0.007151741293532339,0.0,0.0,0.9924664264657713,0.49623321323288566,0,6060,46,326
uca,qwen3vl_8b,falls,6432,0.013992537313432836,0.0057524875621890546,0.08108108108108109,0.03333333333333333,0.9946389151687165,0.513986124251025,3,6308,34,87
uca,qwen3vl_8b,fight,6432,0.04617537313432836,0.001554726368159204,0.1,0.003367003367003367,0.9985330073349633,0.5009500053509833,1,6126,9,296
uca,qwen3vl_8b,fire,6432,0.021299751243781095,0.02658582089552239,0.30994152046783624,0.38686131386861317,0.9812549642573472,0.6840581390629802,53,6177,118,84
uca,qwen3vl_8b,weapon,6432,0.022232587064676616,0.0037313432835820895,0.125,0.02097902097902098,0.9966608363809827,0.5088199286800018,3,6268,21,140
uca,qwen3vl_8b,running,6432,0.047730099502487564,0.01896766169154229,0.16393442622950818,0.06514657980456026,0.9833469387755102,0.5242467592900352,20,6023,102,287
uca,qwen3vl_8b,crash,6432,0.011194029850746268,0.010883084577114429,0.1,0.09722222222222222,0.9900943396226415,0.5436582809224318,7,6297,63,65
uca,qwen3vl_8b,money,6432,0.018190298507462687,0.05519278606965174,0.1323943661971831,0.4017094017094017,0.9512272367379255,0.6764683192236636,47,6007,308,70
uca,qwen3vl_8b,door,6432,0.10929726368159204,0.11707089552238806,0.301460823373174,0.3229018492176387,0.9081864199685808,0.6155441345931097,227,5203,526,476
uca,qwen3vl_8b,take,6432,0.06358830845771145,0.0,,0.0,1.0,0.5,0,6023,0,409
uca,qwen3vl_8b,enterexit,6432,0.05068407960199005,0.000777363184079602,0.2,0.003067484662576687,0.9993449066491975,0.5012061956558871,1,6102,4,325
uca,qwen35_9b,falls,6432,0.013992537313432836,0.002021144278606965,0.0,0.0,0.9979501734468622,0.4989750867234311,0,6329,13,90
uca,qwen35_9b,fight,6432,0.04617537313432836,0.0009328358208955224,0.0,0.0,0.9990220048899755,0.49951100244498775,0,6129,6,297
uca,qwen35_9b,fire,6432,0.021299751243781095,0.03031716417910448,0.2564102564102564,0.36496350364963503,0.9769658459094519,0.6709646747795435,50,6150,145,87
uca,qwen35_9b,weapon,6432,0.022232587064676616,0.004975124378109453,0.3125,0.06993006993006994,0.9965018285896009,0.5332159492598354,10,6267,22,133
uca,qwen35_9b,running,6432,0.047730099502487564,0.02005597014925373,0.14728682170542637,0.06188925081433225,0.9820408163265306,0.5219650335704314,19,6015,110,288
uca,qwen35_9b,crash,6432,0.011194029850746268,0.017101990049751242,0.1,0.1527777777777778,0.9844339622641509,0.5686058700209644,11,6261,99,61
uca,qwen35_9b,money,6432,0.018190298507462687,0.05519278606965174,0.16901408450704225,0.5128205128205128,0.953285827395091,0.7330531701078019,60,6020,295,57
uca,qwen35_9b,door,6432,0.10929726368159204,0.11271766169154229,0.30896551724137933,0.3186344238975818,0.912550183278059,0.6155923035878204,224,5228,501,479
uca,qwen35_9b,take,6432,0.06358830845771145,0.0003109452736318408,0.0,0.0,0.9996679395650009,0.49983396978250044,0,6021,2,409
uca,qwen35_9b,enterexit,6432,0.05068407960199005,0.0003109452736318408,0.0,0.0,0.9996724533245988,0.4998362266622994,0,6104,2,326
