predicate,pair,selectivity,method,recall_at_10_newseed
CTRL(s=0.0546)|hour==11,hour==11,0.05464,postfilter_hnsw_K1x,0.8614
CTRL(s=0.0546)|hour==11,hour==11,0.05464,postfilter_hnsw_K2x,0.9212
CTRL(s=0.0546)|hour==11,hour==11,0.05464,postfilter_hnsw_K4x,0.9212
CTRL(s=0.0546)|hour==11,hour==11,0.05464,single_stage_ivf_batch_np8,0.9705
CTRL(s=0.0546)|hour==11,hour==11,0.05464,single_stage_ivf_batch_np32,0.9985
CTRL(s=0.1581)|hour==12,hour==12,0.15815,postfilter_hnsw_K1x,0.8982
CTRL(s=0.1581)|hour==12,hour==12,0.15815,postfilter_hnsw_K2x,0.9952
CTRL(s=0.1581)|hour==12,hour==12,0.15815,postfilter_hnsw_K4x,0.9954
CTRL(s=0.1581)|hour==12,hour==12,0.15815,single_stage_ivf_batch_np8,0.9904
CTRL(s=0.1581)|hour==12,hour==12,0.15815,single_stage_ivf_batch_np32,0.9994
CTRL(s=0.0492)|hour==13,hour==13,0.04921,postfilter_hnsw_K1x,0.8416
CTRL(s=0.0492)|hour==13,hour==13,0.04921,postfilter_hnsw_K2x,0.8901
CTRL(s=0.0492)|hour==13,hour==13,0.04921,postfilter_hnsw_K4x,0.8901
CTRL(s=0.0492)|hour==13,hour==13,0.04921,single_stage_ivf_batch_np8,0.9645
CTRL(s=0.0492)|hour==13,hour==13,0.04921,single_stage_ivf_batch_np32,0.9985
CTRL(s=0.0449)|hour==14,hour==14,0.0449,postfilter_hnsw_K1x,0.8359
CTRL(s=0.0449)|hour==14,hour==14,0.0449,postfilter_hnsw_K2x,0.8757
CTRL(s=0.0449)|hour==14,hour==14,0.0449,postfilter_hnsw_K4x,0.8757
CTRL(s=0.0449)|hour==14,hour==14,0.0449,single_stage_ivf_batch_np8,0.9605
CTRL(s=0.0449)|hour==14,hour==14,0.0449,single_stage_ivf_batch_np32,0.9976
CTRL(s=0.0344)|hour==16,hour==16,0.03445,postfilter_hnsw_K1x,0.8003
CTRL(s=0.0344)|hour==16,hour==16,0.03445,postfilter_hnsw_K2x,0.8156
CTRL(s=0.0344)|hour==16,hour==16,0.03445,postfilter_hnsw_K4x,0.8156
CTRL(s=0.0344)|hour==16,hour==16,0.03445,single_stage_ivf_batch_np8,0.9469
CTRL(s=0.0344)|hour==16,hour==16,0.03445,single_stage_ivf_batch_np32,0.9974
CTRL(s=0.1260)|hour==17,hour==17,0.12603,postfilter_hnsw_K1x,0.8944
CTRL(s=0.1260)|hour==17,hour==17,0.12603,postfilter_hnsw_K2x,0.9908
CTRL(s=0.1260)|hour==17,hour==17,0.12603,postfilter_hnsw_K4x,0.9912
CTRL(s=0.1260)|hour==17,hour==17,0.12603,single_stage_ivf_batch_np8,0.9884
CTRL(s=0.1260)|hour==17,hour==17,0.12603,single_stage_ivf_batch_np32,0.9995
CTRL(s=0.0452)|hour==18,hour==18,0.04525,postfilter_hnsw_K1x,0.8388
CTRL(s=0.0452)|hour==18,hour==18,0.04525,postfilter_hnsw_K2x,0.8785
CTRL(s=0.0452)|hour==18,hour==18,0.04525,postfilter_hnsw_K4x,0.8785
CTRL(s=0.0452)|hour==18,hour==18,0.04525,single_stage_ivf_batch_np8,0.9603
CTRL(s=0.0452)|hour==18,hour==18,0.04525,single_stage_ivf_batch_np32,0.9979
CTRL(s=0.0802)|hour==19,hour==19,0.08022,postfilter_hnsw_K1x,0.8783
CTRL(s=0.0802)|hour==19,hour==19,0.08022,postfilter_hnsw_K2x,0.9659
CTRL(s=0.0802)|hour==19,hour==19,0.08022,postfilter_hnsw_K4x,0.9659
CTRL(s=0.0802)|hour==19,hour==19,0.08022,single_stage_ivf_batch_np8,0.9774
CTRL(s=0.0802)|hour==19,hour==19,0.08022,single_stage_ivf_batch_np32,0.9988
"CTRL(s=0.7737)|hour in [06,18] (daytime)","hour in [06,18] (daytime)",0.7737,postfilter_hnsw_K1x,0.9705
"CTRL(s=0.7737)|hour in [06,18] (daytime)","hour in [06,18] (daytime)",0.7737,postfilter_hnsw_K2x,0.9993
"CTRL(s=0.7737)|hour in [06,18] (daytime)","hour in [06,18] (daytime)",0.7737,postfilter_hnsw_K4x,0.9993
"CTRL(s=0.7737)|hour in [06,18] (daytime)","hour in [06,18] (daytime)",0.7737,single_stage_ivf_batch_np8,0.9965
"CTRL(s=0.7737)|hour in [06,18] (daytime)","hour in [06,18] (daytime)",0.7737,single_stage_ivf_batch_np32,0.9996
"CTRL(s=0.3069)|hour in [11,14] (midday)","hour in [11,14] (midday)",0.3069,postfilter_hnsw_K1x,0.9127
"CTRL(s=0.3069)|hour in [11,14] (midday)","hour in [11,14] (midday)",0.3069,postfilter_hnsw_K2x,0.9992
"CTRL(s=0.3069)|hour in [11,14] (midday)","hour in [11,14] (midday)",0.3069,postfilter_hnsw_K4x,0.9992
"CTRL(s=0.3069)|hour in [11,14] (midday)","hour in [11,14] (midday)",0.3069,single_stage_ivf_batch_np8,0.9942
"CTRL(s=0.3069)|hour in [11,14] (midday)","hour in [11,14] (midday)",0.3069,single_stage_ivf_batch_np32,0.9996
"CTRL(s=0.2515)|hour in [17,19] (evening peak)","hour in [17,19] (evening peak)",0.2515,postfilter_hnsw_K1x,0.9051
"CTRL(s=0.2515)|hour in [17,19] (evening peak)","hour in [17,19] (evening peak)",0.2515,postfilter_hnsw_K2x,0.9989
"CTRL(s=0.2515)|hour in [17,19] (evening peak)","hour in [17,19] (evening peak)",0.2515,postfilter_hnsw_K4x,0.9992
"CTRL(s=0.2515)|hour in [17,19] (evening peak)","hour in [17,19] (evening peak)",0.2515,single_stage_ivf_batch_np8,0.993
"CTRL(s=0.2515)|hour in [17,19] (evening peak)","hour in [17,19] (evening peak)",0.2515,single_stage_ivf_batch_np32,0.9998
CTRL(s=0.2678)|location in top-5,location in top-5,0.26776,postfilter_hnsw_K1x,0.9084
CTRL(s=0.2678)|location in top-5,location in top-5,0.26776,postfilter_hnsw_K2x,0.9991
CTRL(s=0.2678)|location in top-5,location in top-5,0.26776,postfilter_hnsw_K4x,0.9992
CTRL(s=0.2678)|location in top-5,location in top-5,0.26776,single_stage_ivf_batch_np8,0.9929
CTRL(s=0.2678)|location in top-5,location in top-5,0.26776,single_stage_ivf_batch_np32,0.9996
CTRL(s=0.3211)|date in 2020-09,date in 2020-09,0.32112,postfilter_hnsw_K1x,0.9223
CTRL(s=0.3211)|date in 2020-09,date in 2020-09,0.32112,postfilter_hnsw_K2x,0.9997
CTRL(s=0.3211)|date in 2020-09,date in 2020-09,0.32112,postfilter_hnsw_K4x,0.9997
CTRL(s=0.3211)|date in 2020-09,date in 2020-09,0.32112,single_stage_ivf_batch_np8,0.9948
CTRL(s=0.3211)|date in 2020-09,date in 2020-09,0.32112,single_stage_ivf_batch_np32,1.0
