dose,replicate,scoring,recall_at_10,mrr,ndcg_at_10
0.25,102,strict,0.05972158843288035,0.3962775693089248,0.25153297031516514
0.25,102,semantic,0.05702822111198768,0.8386274509803922,0.8297667742893352
0.25,103,strict,0.05941123172777411,0.39283529362489217,0.24417380044867304
0.25,103,semantic,0.05539941357073097,0.881764705882353,0.8238607941344753
0.25,104,strict,0.054974642244795646,0.4010737955871196,0.23569509127928928
0.25,104,semantic,0.055342128814141855,0.8803921568627451,0.8035824531180961
0.25,105,strict,0.05674301004994482,0.35205612013673865,0.226612926474828
0.25,105,semantic,0.05494989901451575,0.7856862745098039,0.7729299977392688
0.25,106,strict,0.05688545555713137,0.3947762597592656,0.25101396310056157
0.25,106,semantic,0.05929517100819264,0.8915686274509804,0.8719170204406494
0.25,107,strict,0.05762509159011936,0.38694507760973984,0.23858972834974498
0.25,107,semantic,0.055916464422650025,0.8569747899159663,0.8098623959708633
0.25,108,strict,0.06052196354656509,0.386173264547832,0.24046609077401007
0.25,108,semantic,0.05781228607061587,0.7772549019607843,0.8110474044146789
0.25,109,strict,0.05892985834977244,0.41234106088000305,0.25190272046165524
0.25,109,semantic,0.05814514655154473,0.8782352941176471,0.8444647795551558
0.25,110,strict,0.05505451213764302,0.40614452799761963,0.2457493030601801
0.25,110,semantic,0.05754304152803658,0.8566666666666666,0.84813289915173
0.25,111,strict,0.05693636791678312,0.36542563366072944,0.236993280422379
0.25,111,semantic,0.05624352446787219,0.753921568627451,0.7800086668539682
0.25,112,strict,0.06169829903864498,0.3453991166816994,0.2362668918649723
0.25,112,semantic,0.055034537055149796,0.7309803921568627,0.7509067233127011
0.25,113,strict,0.057456853257931526,0.38908719942381753,0.2502475914566001
0.25,113,semantic,0.056992205270878595,0.8676470588235294,0.8238552860646059
0.25,114,strict,0.059068568708887964,0.3954646502766954,0.24174842990472697
0.25,114,semantic,0.05738156122714851,0.830392156862745,0.8130067264866933
0.25,115,strict,0.056425614452768426,0.3936929637973416,0.24524646262685956
0.25,115,semantic,0.056961291755329393,0.8498039215686275,0.8239662052948723
0.25,116,strict,0.05532354995750226,0.41387229159927785,0.24514171389981315
0.25,116,semantic,0.057292081349815324,0.9117647058823529,0.8175193601216294
0.25,117,strict,0.054684809338585834,0.39340419015616135,0.23358490038089147
0.25,117,semantic,0.054313207582521866,0.831764705882353,0.7543732647727248
0.25,118,strict,0.05195158213032377,0.3770656973166698,0.23234619805210194
0.25,118,semantic,0.05502294204473578,0.9052941176470588,0.8353636808834086
0.25,119,strict,0.055020773726784336,0.41434103611401485,0.23882690697681563
0.25,119,semantic,0.05365809763440669,0.8427450980392157,0.7824661276503864
0.25,120,strict,0.05928604240314635,0.3574665390051588,0.2364430895519491
0.25,120,semantic,0.05394012892393791,0.7872549019607844,0.7806254780622727
0.25,121,strict,0.057369130945259174,0.3648614267828632,0.23622679333290725
0.25,121,semantic,0.0561591684064299,0.8058823529411765,0.7827499182904606
0.25,122,strict,0.05982097379692091,0.38048293301402225,0.24022990431251903
0.25,122,semantic,0.05428156274449612,0.8968627450980392,0.8097862360007608
0.25,123,strict,0.05749248273841639,0.3623202617753377,0.23793134425831702
0.25,123,semantic,0.05673832631497266,0.8027450980392157,0.7944506697035425
0.25,124,strict,0.0586393177030459,0.40964502458087715,0.24090491740805045
0.25,124,semantic,0.05681328654320779,0.9235294117647059,0.8338909849662199
0.25,125,strict,0.05977448750659583,0.3914511184763646,0.24740745777539108
0.25,125,semantic,0.05448712297039988,0.8305882352941176,0.8179712134828792
0.25,126,strict,0.056182226717148974,0.3850498882996347,0.2427057111986032
0.25,126,semantic,0.05596809461729446,0.8392156862745097,0.7898982439177615
0.25,127,strict,0.058722784468251646,0.3880863181571866,0.24279742272057478
0.25,127,semantic,0.05586579282701313,0.8190196078431372,0.7918138812881416
0.25,128,strict,0.060460724470052934,0.39699637914205366,0.23717701330232427
0.25,128,semantic,0.05523944215156877,0.8490196078431373,0.8003622186695183
0.25,129,strict,0.05910747887469834,0.39839873333981257,0.23627978562503316
0.25,129,semantic,0.054640108078316825,0.8327450980392157,0.803667492141147
0.25,130,strict,0.058147590793274855,0.39829765311233317,0.2487136398721103
0.25,130,semantic,0.05707199756748059,0.8856862745098039,0.8475211804857024
0.25,131,strict,0.058618841036567004,0.37516938837598657,0.24396964842391214
0.25,131,semantic,0.05536117706208401,0.8335294117647059,0.8255317560815532
0.25,132,strict,0.06064930714593825,0.4337097433640267,0.2504753777987386
0.25,132,semantic,0.05695977115160479,0.9023529411764706,0.8347945645495026
0.25,133,strict,0.062091486967396164,0.40410268867555327,0.25344066814714883
0.25,133,semantic,0.05686298977150485,0.8488235294117648,0.8246587845709237
0.25,134,strict,0.06260186543303799,0.4095662268348948,0.2507165631439726
0.25,134,semantic,0.05714463814241077,0.9147058823529411,0.819718600597308
0.25,135,strict,0.05501373293467387,0.4079202548709655,0.2452408470029926
0.25,135,semantic,0.0561282548908807,0.8572549019607842,0.8137015619755855
0.25,136,strict,0.05462067389577843,0.36170301764502905,0.22550323268368608
0.25,136,semantic,0.05333531937483306,0.7280392156862745,0.7441486547973617
0.25,137,strict,0.05223643980726835,0.4182773702576995,0.24125076682468724
0.25,137,semantic,0.05615613696731296,0.8311764705882354,0.816186244944653
0.25,138,strict,0.05545063870272126,0.36200389958495516,0.2409875640496537
0.25,138,semantic,0.0570230158933278,0.8411764705882353,0.7899668152708216
0.25,139,strict,0.05376250944325483,0.3710515000994877,0.23038648120506305
0.25,139,semantic,0.05377158611881282,0.8325490196078431,0.7699986968515813
0.25,140,strict,0.06283658044123769,0.37167356431480175,0.23634221723502608
0.25,140,semantic,0.05734027374272005,0.7550140056022409,0.7908887041541232
0.25,141,strict,0.05506311923683993,0.3688632061626617,0.23181098219931848
0.25,141,semantic,0.0550439309346905,0.843921568627451,0.80225320818783
0.25,142,strict,0.06146354856488589,0.38572169316928523,0.24344411782791886
0.25,142,semantic,0.056768979341661106,0.8370588235294119,0.8122269967617278
