corpus,method,mask_type,name,repeat,anchor,selectivity_target,concentration,count,selectivity,mask_sha256,mean_recall_at_10,recall_loss,queries_below_full_recall,kprime,mean_pairwise_cosine,gt_mode,exact_top_l,coverage_failure_fraction
A,hnsw,shuffle,location==BC2000801,50.0,,,,11455,0.08643913040197403,2f2bba2fb3fc1cbe8990f28b20e1481ee709cb8aee17a9a0fd54d3a0006122af,0.9715999960899353,0.028400003910064697,213,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,51.0,,,,11455,0.08643913040197403,3a0c64b6c8fb777bfd0dd66b7330569495882bcf65d850c8b55ceb709a6535ad,0.9726999998092651,0.027300000190734863,209,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,52.0,,,,11455,0.08643913040197403,8ca023cb9eed02b74485bd5294a75478afb2ac30b3d8fa8d34c4f78b04450ac4,0.9750999808311462,0.02490001916885376,193,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,53.0,,,,11455,0.08643913040197403,32f54180d447bf0a26afe809abd36b9d0283ce88bead8d521c9245686f73918e,0.9715999960899353,0.028400003910064697,207,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,54.0,,,,11455,0.08643913040197403,55d0d5e37718dafae82c403d74b4c69aff4ee2bb67cb3c5d5a94e51574ff0b9a,0.9690999984741211,0.030900001525878906,211,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,55.0,,,,11455,0.08643913040197403,85f560460b3d8168577bcc318c41e74491cd32ce76b44b9523596cc1ecacd4f9,0.9725000262260437,0.0274999737739563,200,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,56.0,,,,11455,0.08643913040197403,eca53b0e250a3d37725c6c550e8dc2e86e68b01212d75ac0fcbe7b3fb95359eb,0.9733999967575073,0.026600003242492676,201,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,57.0,,,,11455,0.08643913040197403,30713321411854d64eb00da57dd48d652be081d986ed59f1294d93b9958328ca,0.9735999703407288,0.02640002965927124,191,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,58.0,,,,11455,0.08643913040197403,175465c853eda5524c09a18ebff528f58f56f6ed58777954828648d197df7fff,0.9710999727249146,0.02890002727508545,206,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,59.0,,,,11455,0.08643913040197403,46e786cf9945ea3d3ec5ae1ef5b8f3f55105471c6ebdc80df3741e6f9e9d8490,0.9721999764442444,0.027800023555755615,212,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,60.0,,,,11455,0.08643913040197403,735caa02716f244946cdc98a793bc094e84b8efba74f451ab43774a461e7d61b,0.9710999727249146,0.02890002727508545,219,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,61.0,,,,11455,0.08643913040197403,1c928b71de11d02c6c36d84c7a2ca97fb1a3e3d30fda722aa76da28e124ebe8c,0.9727998971939087,0.02720010280609131,203,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,62.0,,,,11455,0.08643913040197403,21e150762b4767b7390e4623e6a9c8d58baa8a745e7497e598a24039c2128115,0.9699000120162964,0.030099987983703613,222,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,63.0,,,,11455,0.08643913040197403,28a6dc76594408baae2689ca7774c894d706f9de76084dce9d7dfdc731bc8d3d,0.9679999947547913,0.03200000524520874,229,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,64.0,,,,11455,0.08643913040197403,fd8f95f3e3c95ad37febf0190df22fff12aec755b417dcce96ae220316f7568f,0.9741999506950378,0.025800049304962158,197,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,65.0,,,,11455,0.08643913040197403,68d9d1e578881641d9c618c743a5561c9a07dcfed12b755c4df870cae3a142e6,0.9735000133514404,0.02649998664855957,194,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,66.0,,,,11455,0.08643913040197403,d1473e340b973366028b9212c3f092ec17b6e96159492e648de048a11d235905,0.9722999930381775,0.02770000696182251,199,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,67.0,,,,11455,0.08643913040197403,0c5afd7981964ec274b65e2ef5813b12df07b0a2ff6014ed57abf30ddfed34e5,0.9698999524116516,0.03010004758834839,209,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,68.0,,,,11455,0.08643913040197403,fac78b456f1f23f0b1012e474d83b80d2000bc6f6584c2913c9c1d0453e6e592,0.9708999991416931,0.029100000858306885,225,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,69.0,,,,11455,0.08643913040197403,b9a5ea52fbf83504e689e6c653c941add353e4f53a27b014bb4371a0ad7c3158,0.9734999537467957,0.026500046253204346,189,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,70.0,,,,11455,0.08643913040197403,1d25b478ee22fa15e2ce55158801436c2e1c8b1ba9401800d032bab578534565,0.9751999378204346,0.02480006217956543,182,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,71.0,,,,11455,0.08643913040197403,3b79414b814abd00d90a32c7aa6201183c60e21d9828aa2ae1c3b98cd7da31be,0.9740999937057495,0.02590000629425049,195,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,72.0,,,,11455,0.08643913040197403,770fa765f46b6bf94a4502af2760038bb98e76164fbc92d54fd458d4623e1e9a,0.972599983215332,0.02740001678466797,202,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,73.0,,,,11455,0.08643913040197403,df0abdc25168660bd4f983a18e053260782c9e87a8a783f2805984d9a9aab8b6,0.9725000262260437,0.0274999737739563,189,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,74.0,,,,11455,0.08643913040197403,cfbf4407040e608c28c83fe9b008928bf75d0e04fb980fd1ef495b5e97bd7af0,0.9705999493598938,0.0294000506401062,219,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,75.0,,,,11455,0.08643913040197403,d4257f06b65695e3b1a47c289a47172c9a9435502b3c5f1626b3e8332f9bc2f5,0.9761999249458313,0.0238000750541687,179,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,76.0,,,,11455,0.08643913040197403,14114c4d05ee3af6ec4066fa2c108986c6ec82d91ce8987ecc8ffe20b3afb68b,0.9702999591827393,0.029700040817260742,221,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,77.0,,,,11455,0.08643913040197403,ad376987cea3a9d18ea27579a980fbf22b40220c038ea7601fddf48a5b5a0d9c,0.9728999733924866,0.027100026607513428,208,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,78.0,,,,11455,0.08643913040197403,2d7182b7b39bfe009ef89adc97a08f0bd3b463db53127ae14e4549b8fc67fa8e,0.974399983882904,0.025600016117095947,204,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,79.0,,,,11455,0.08643913040197403,706b2991d0770909dc1f9a746d62889f13d2726865627bc8d7aa3464e54d8401,0.9704999923706055,0.02950000762939453,217,464,,global_top_l_filter,5000,0.0
A,hnsw,shuffle,location==BC2000801,80.0,,,,11455,0.08643913040197403,cfcb76229d8fca5d531fb8729d3fee3e51c9b963d5b908f8e91dcb5c1bdcc670,0.9756999611854553,0.024300038814544678,193,464,,global_top_l_filter,5000,0.0
