fact_id,L1_surface,L2_alias,L3_inverse,L4_alt_path,L5_prompt,S1_fact_parity,S2_world_parity,S3_token_ratio,S3_within_tol
a8c85da5d9e04688,False,False,False,False,False,True,True,1.188,False
8261294be739be69,False,False,False,False,False,True,True,1.111,False
4a2d111224579287,False,False,False,False,False,True,True,1.158,False
a6d80101d57df0fd,False,False,False,False,False,True,True,1.167,False
9e1deb1bd7030fcd,False,False,False,False,False,True,True,1.158,False
3ba963dbb7464855,False,False,False,False,False,True,True,1.15,False
66048f361d8ccb8c,False,False,False,False,False,True,True,1.158,False
0cbaf69e4f6f2f9c,False,False,False,False,False,True,True,1.158,False
6e7331f281cf930f,False,False,False,False,False,True,True,1.125,False
e2fa36cb26e85127,False,False,False,False,False,True,True,1.176,False
a9066b6f09c6d438,False,False,False,False,False,True,True,1.167,False
2788f49da410c255,False,False,False,False,False,True,True,1.136,False
432eccf6f50e4c3d,False,False,False,False,False,True,True,1.143,False
43c67f1b377c90f9,False,False,False,False,False,True,True,1.176,False
4f3ef0a7876a2b75,False,False,False,False,False,True,True,1.167,False
ed7d6d1e8eacab19,False,False,False,False,False,True,True,1.176,False
3fbff3809aff4cc6,False,False,False,False,False,True,True,1.158,False
c94b6229ffabef03,False,False,False,False,False,True,True,1.176,False
f6b653e013650ddd,False,False,False,False,False,True,True,1.188,False
ec3ae852879798bc,False,False,False,False,False,True,True,1.143,False
b942ad043f463f47,False,False,False,False,False,True,True,1.188,False
95f7b197a53027b3,False,False,False,False,False,True,True,1.136,False
f2c6a88f96ca181c,False,False,False,False,False,True,True,1.176,False
00ffe394d482a906,False,False,False,False,False,True,True,1.188,False
4aa7943efe3ad66b,False,False,False,False,False,True,True,1.167,False
1294dae8dae94982,False,False,False,False,False,True,True,1.158,False
