domain,protocol,repeat,doc_id,expected_version,expected_epoch,dense_versions,sparse_versions,stale,future,mixed,missing,answer_error,update_window,latency_ms
flask,weaviate_naive,0,21,2,3,1,1,1,0,0,1,1,1,5.027426406741142
flask,weaviate_naive,0,24,2,3,1,1,1,0,0,1,1,1,7.333096116781235
flask,weaviate_naive,0,20,2,3,,1,1,0,0,1,1,1,3.709970973432064
flask,weaviate_naive,0,23,2,3,1,1,1,0,0,1,1,1,7.915572263300419
flask,weaviate_naive,0,28,2,3,1,1,1,0,0,1,1,1,6.7107705399394035
flask,weaviate_naive,0,23,2,3,1,1,1,0,0,1,1,1,4.973909817636013
flask,weaviate_naive,0,27,2,3,1,1,1,0,0,1,1,1,6.497731432318687
flask,weaviate_naive,0,25,2,3,1,1,1,0,0,1,1,1,8.162296377122402
flask,weaviate_naive,0,20,2,3,,1,1,0,0,1,1,1,4.853187128901482
flask,weaviate_naive,0,20,2,3,,1,1,0,0,1,1,1,8.493497967720032
flask,weaviate_naive,0,24,2,3,1,1,1,0,0,1,1,1,6.612039171159267
flask,weaviate_naive,0,27,2,3,1,1,1,0,0,1,1,1,8.859673514962196
flask,weaviate_naive,0,29,2,3,1,1,1,0,0,1,1,1,11.43955159932375
flask,weaviate_naive,0,23,2,3,,1,1,0,0,1,1,1,7.0609962567687035
flask,weaviate_naive,0,28,2,3,1,1,1,0,0,1,1,1,6.743454374372959
flask,weaviate_naive,0,22,2,3,,1,1,0,0,1,1,1,4.541437141597271
flask,weaviate_naive,0,27,2,3,1,1,1,0,0,1,1,1,8.184492588043213
flask,weaviate_naive,0,22,2,3,,1,1,0,0,1,1,1,9.283959865570068
flask,weaviate_naive,0,21,2,3,,1,1,0,0,1,1,1,12.732270173728466
flask,weaviate_naive,0,20,2,3,,1,1,0,0,1,1,1,10.45757532119751
flask,weaviate_naive,0,25,2,3,,1,1,0,0,1,1,1,6.156221032142639
flask,weaviate_naive,0,26,2,3,,1,1,0,0,1,1,1,8.55165719985962
flask,weaviate_naive,0,27,2,3,1,1,1,0,0,1,1,1,7.0485323667526245
flask,weaviate_naive,0,23,2,3,,1,1,0,0,1,1,1,7.175695151090622
flask,weaviate_naive,0,22,2,3,,1,1,0,0,1,1,1,3.8769515231251717
flask,weaviate_naive,0,26,2,3,,1,1,0,0,1,1,1,5.468606948852539
flask,weaviate_naive,0,22,2,3,,1,1,0,0,1,1,1,4.729693755507469
flask,weaviate_naive,0,31,1,0,1,1,0,0,0,0,0,1,8.386049419641495
flask,weaviate_naive,0,44,1,0,1,1,0,0,0,0,0,1,15.688523650169373
flask,weaviate_naive,0,23,2,3,,1,1,0,0,1,1,1,9.127296507358551
flask,weaviate_naive,0,49,1,0,1,1,0,0,0,0,0,1,7.381856441497803
flask,weaviate_naive,0,24,2,3,,2,0,0,0,1,1,0,4.7708069905638695
