experiment_kind,domain,protocol,scenario,repeat,checkpoint,fact_id,commit,path,expected_version,expected_epoch,dense_versions,sparse_versions,answer_label,snapshot_correct,current_correct,latency_ms
fault,flask,cross_staged,partial_dense_crash,1,after_crash,19,6751f68560bfa7c51133d2712830645ed551ace8,docs/async-await.rst,1,0,1,1,OLD_ONLY,1,0,2.8897253796458244
fault,flask,cross_staged,partial_dense_crash,1,after_crash,20,b46bfcfa63e3c7b32b66dd4870f1c8c17fe1cb46,docs/extensiondev.rst,1,0,1,1,OLD_ONLY,1,0,3.057589754462242
fault,flask,cross_staged,partial_dense_crash,1,after_crash,21,46433e9807a1c960d6b2bb0e125cf16a90167d97,docs/patterns/streaming.rst,1,0,1,1,OLD_ONLY,1,0,2.97370832413435
fault,flask,cross_staged,partial_dense_crash,1,after_crash,22,2ea77c278282f04a8a18c3ced88ef1e048f8ed4a,docs/async-await.rst,1,0,1,1,OLD_ONLY,1,0,3.173908218741417
fault,flask,cross_staged,partial_dense_crash,1,after_crash,23,2f3c87dcb8492f082a2f3ece444773d9db30171b,docs/patterns/index.rst,1,0,1,1,OLD_ONLY,1,0,2.917584963142872
fault,flask,cross_staged,partial_dense_crash,1,after_crash,24,bab5a65e6eaee20ac1706fc9439ee538f59e652f,docs/views.rst,1,0,1,1,OLD_ONLY,1,0,2.9702503234148026
fault,flask,cross_staged,partial_dense_crash,1,after_recovery,0,ac5664d2281533eacafd64f5cc7d5edcdaccab60,docs/async-await.rst,2,0,2,2,NEW_ONLY,1,1,3.0938172712922096
fault,flask,cross_staged,partial_dense_crash,1,after_recovery,1,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,docs/appcontext.rst,2,0,2,2,NEW_ONLY,1,1,3.0738627538084984
fault,flask,cross_staged,partial_dense_crash,1,after_recovery,2,edebd3704437f19b5b137eaffe97130fe817d144,docs/templating.rst,2,0,2,2,NEW_ONLY,1,1,3.1330715864896774
fault,flask,cross_staged,partial_dense_crash,1,after_recovery,3,d8259eb11900285af9b80b0fa47f841174c054e3,docs/design.rst,2,0,2,2,NEW_ONLY,1,1,3.123622387647629
fault,flask,cross_staged,partial_dense_crash,1,after_recovery,4,ff64079a516c269f171ababf3d92b86886a62ffd,docs/web-security.rst,2,0,2,2,NEW_ONLY,1,1,3.216248005628586
fault,flask,cross_staged,partial_dense_crash,1,after_recovery,5,85cc71046475f9cb3efd17d496356795961249f9,docs/index.rst,2,0,2,2,NEW_ONLY,1,1,3.1404783949255943
fault,flask,cross_staged,partial_dense_crash,1,after_recovery,6,a758915893352f5986c6ee101cdf7e3b7a64fa28,docs/index.rst,2,0,2,2,NEW_ONLY,1,1,2.9714498668909073
