dataset,model,scoring,strategy,recall_at_1,hit_at_1,recall_at_5,hit_at_5,recall_at_10,hit_at_10,recall_at_20,hit_at_20,mrr,ndcg_at_10
522,qwen3vl_8b,semantic,B1_bm25_only,0.0001137587415991,0.0352941176470588,0.0026632961640847,0.3411764705882353,0.0070300146708256,0.6,0.0112126454205811,0.7411764705882353,0.1825097991782432,0.1400230304663653
522,qwen3vl_8b,strict,B2_vector_only,0.0033882350328343,0.1058823529411764,0.0089391201798933,0.3176470588235294,0.0201061867442273,0.4941176470588235,0.0373958792058082,0.6705882352941176,0.2124250238782259,0.0936236563081583
522,qwen3vl_8b,semantic,B2_vector_only,0.0015890326598235,0.2,0.0069590369451444,0.7176470588235294,0.0135479395000852,0.8823529411764706,0.0261894936823124,0.976470588235294,0.429530062882139,0.241932853229545
522,qwen3vl_8b,strict,B3_vector_postfilter,0.0110754700375766,0.2941176470588235,0.0418092327594474,0.7058823529411765,0.0722252077592775,0.8117647058823529,0.1062443289445683,0.8588235294117647,0.4671328323623875,0.2704282829058618
522,qwen3vl_8b,semantic,B3_vector_postfilter,0.001856344747183,0.2941176470588235,0.008061965760023,0.7058823529411765,0.0144903983387285,0.8117647058823529,0.0228038090653491,0.8588235294117647,0.4671328323623875,0.2686924023499912
522,qwen3vl_8b,strict,B4_prefilter_vector,0.0110754700375766,0.2941176470588235,0.0447504092300357,0.7294117647058823,0.0791770794170316,0.8352941176470589,0.1284014596309212,0.8941176470588236,0.4755245556638195,0.2761074255144143
522,qwen3vl_8b,semantic,B4_prefilter_vector,0.001856344747183,0.2941176470588235,0.0081145643220073,0.7294117647058823,0.0146296960594575,0.8352941176470589,0.0238342943465144,0.8941176470588236,0.4755245556638195,0.2736502465933417
522,qwen3vl_8b,strict,B5_hybrid,0.0064761096981896,0.1529411764705882,0.0318053349744575,0.611764705882353,0.0643162355862564,0.7647058823529411,0.1109934684689663,0.8470588235294118,0.3516254219777504,0.2109834975693749
522,qwen3vl_8b,semantic,B5_hybrid,0.0008372792046411,0.1529411764705882,0.0049302979719983,0.611764705882353,0.0101036351211214,0.7647058823529411,0.0170990058898485,0.8470588235294118,0.3516254219777504,0.2082137618296385
522,qwen35_9b,strict,B0_metadata_only,0.0070455383725777,0.3529411764705882,0.0216607187269854,0.5764705882352941,0.0437066661093947,0.7294117647058823,0.0699536002178636,0.8117647058823529,0.4678075600566624,0.2180668688794056
522,qwen35_9b,semantic,B0_metadata_only,0.0009479318026393,0.3529411764705882,0.0045246649971377,0.5764705882352941,0.0081639703139079,0.7294117647058823,0.0115191875024961,0.8117647058823529,0.4678075600566624,0.217297488411546
522,qwen35_9b,strict,B1_bm25_only,0.000304292871621,0.0352941176470588,0.0027388692451453,0.1529411764705882,0.0059872332431719,0.2705882352941176,0.0092311819009935,0.3764705882352941,0.0986953115635917,0.0373102058449606
522,qwen35_9b,semantic,B1_bm25_only,0.0002381519409383,0.0588235294117647,0.0020254850021166,0.5882352941176471,0.0037470526266854,0.6588235294117647,0.0056439987492441,0.7058823529411765,0.2431582340998846,0.1152594735600727
522,qwen35_9b,strict,B2_vector_only,0.0010100951130932,0.0941176470588235,0.0092390006759994,0.3058823529411765,0.0126123637114616,0.3647058823529411,0.0243134844033667,0.4470588235294118,0.1837278746790371,0.0818090730244306
522,qwen35_9b,semantic,B2_vector_only,0.0023486021763044,0.3294117647058823,0.0099739138081991,0.6352941176470588,0.0146071238623881,0.6588235294117647,0.0233701352926114,0.7529411764705882,0.4550761855746331,0.2722145174798047
522,qwen35_9b,strict,B3_vector_postfilter,0.0130496500713457,0.3780487804878049,0.0363998127538139,0.6585365853658537,0.0473165677704486,0.7560975609756098,0.0601828441604695,0.8048780487804879,0.4922506072941909,0.2171740123866358
522,qwen35_9b,semantic,B3_vector_postfilter,0.0023607617146377,0.3780487804878049,0.0074620440257165,0.6585365853658537,0.0101610464133513,0.7560975609756098,0.0148588973785029,0.8048780487804879,0.4922506072941909,0.2145075463982354
522,qwen35_9b,strict,B4_prefilter_vector,0.0125890741864747,0.3647058823529411,0.0373725292669775,0.6588235294117647,0.0582429947138392,0.7764705882352941,0.1016893477077539,0.8470588235294118,0.4872029658332464,0.2259260363615199
522,qwen35_9b,semantic,B4_prefilter_vector,0.0022774407129446,0.3647058823529411,0.0074061766802352,0.6588235294117647,0.0111009047233989,0.7764705882352941,0.0187949920197842,0.8470588235294118,0.4872029658332464,0.2232981821921419
522,qwen35_9b,strict,B5_hybrid,0.0040473201757595,0.188235294117647,0.0258120742303313,0.5294117647058824,0.043450649577027,0.6470588235294118,0.0787201809069602,0.7764705882352941,0.3410987514707552,0.1646172868465315
522,qwen35_9b,semantic,B5_hybrid,0.0008167083993079,0.188235294117647,0.0043133708532185,0.5294117647058824,0.0069658374720129,0.6470588235294118,0.0131885739984801,0.7764705882352941,0.3410987514707552,0.1641992232989924
meva,qwen25vl_7b,strict,B0_metadata_only,0.0084625554499129,0.1243523316062176,0.0366456183315801,0.4248704663212435,0.0959354739048603,0.6062176165803109,0.1734357213787639,0.7927461139896373,0.289404281792268,0.144094804606674
meva,qwen25vl_7b,semantic,B0_metadata_only,0.001937366539072,0.1243523316062176,0.0069837763466059,0.4248704663212435,0.0179897532759518,0.6062176165803109,0.0341178531016406,0.7927461139896373,0.289404281792268,0.1383597899343764
meva,qwen25vl_7b,strict,B1_bm25_only,0.0025835975519289,0.0569948186528497,0.0100610452795151,0.155440414507772,0.023869263244157,0.3160621761658031,0.0364387733366084,0.4559585492227979,0.1276865205041945,0.0474020024847909
meva,qwen25vl_7b,semantic,B1_bm25_only,0.002735547932678,0.1813471502590673,0.0130825817551472,0.5440414507772021,0.0223278471730919,0.7409326424870466,0.0357387462905858,0.9067357512953368,0.3516936651529458,0.1734276651284391
