fold,family,predicate,relevance_def,train_cramers_v,eligible_queries,total_queries,mean_delta_b4_b2
1,sig_has_yellow::dense_frame,sig_has_yellow,dense_frame,0.10054196406552408,0,1,
1,sig_has_yellow::multiple_buses,sig_has_yellow,multiple_buses,0.09206088895874975,2,2,-0.10124161603625315
1,sig_has_yellow::parked_vehicle,sig_has_yellow,parked_vehicle,0.03185555326946536,2,2,-0.02044854051080776
1,sig_has_yellow::stopped_vehicles,sig_has_yellow,stopped_vehicles,0.0,2,2,-0.05531744826673771
1,sig_has_yellow::two_plus_bikes,sig_has_yellow,two_plus_bikes,0.10903096959492899,2,2,0.0
1,time_of_day::dense_frame,time_of_day,dense_frame,0.05968551210873486,0,3,
1,time_of_day::multiple_buses,time_of_day,multiple_buses,0.0,3,3,-0.06088470118940187
1,time_of_day::parked_vehicle,time_of_day,parked_vehicle,0.10873436890206992,2,2,-0.010862883512515423
1,time_of_day::stopped_vehicles,time_of_day,stopped_vehicles,0.398316855153038,2,2,0.25905007973742217
1,time_of_day::two_plus_bikes,time_of_day,two_plus_bikes,0.19778950578558777,3,3,0.04958796861352424
1,veh_density_bin::dense_frame,veh_density_bin,dense_frame,0.20560339492620922,0,1,
1,veh_density_bin::multiple_buses,veh_density_bin,multiple_buses,0.23752244711558346,3,3,-0.02006058502850883
1,veh_density_bin::parked_vehicle,veh_density_bin,parked_vehicle,0.0,3,3,0.021206929399650576
1,veh_density_bin::stopped_vehicles,veh_density_bin,stopped_vehicles,0.0,3,3,-0.06301330721369151
1,veh_density_bin::two_plus_bikes,veh_density_bin,two_plus_bikes,0.14523503135632984,3,3,0.024454640699786687
2,hour::dense_frame,hour,dense_frame,0.10351992812423003,5,5,-0.1493449962135568
2,hour::multiple_buses,hour,multiple_buses,0.057962245895139555,10,10,-0.32093934599433466
2,hour::parked_vehicle,hour,parked_vehicle,0.13684083053127793,6,6,0.014190519606936835
2,hour::stopped_vehicles,hour,stopped_vehicles,0.4585269365352157,8,8,0.2387951640054967
2,hour::two_plus_bikes,hour,two_plus_bikes,0.2208803392673937,11,11,0.09308207780802107
2,sig_has_pedestrian::dense_frame,sig_has_pedestrian,dense_frame,0.08289931119262725,2,2,-0.04996029921067231
2,sig_has_pedestrian::multiple_buses,sig_has_pedestrian,multiple_buses,0.0,2,2,0.07995500560627684
2,sig_has_pedestrian::parked_vehicle,sig_has_pedestrian,parked_vehicle,0.02339196121711171,2,2,0.0
2,sig_has_pedestrian::stopped_vehicles,sig_has_pedestrian,stopped_vehicles,0.05460437449814193,2,2,-0.05894618926435913
2,sig_has_pedestrian::two_plus_bikes,sig_has_pedestrian,two_plus_bikes,0.04752591935555263,2,2,-0.02830448836322963
2,sig_has_yellow::dense_frame,sig_has_yellow,dense_frame,0.09249562160309618,1,1,0.0
2,sig_has_yellow::multiple_buses,sig_has_yellow,multiple_buses,0.08053007497859913,2,2,-0.07571831560990658
2,sig_has_yellow::parked_vehicle,sig_has_yellow,parked_vehicle,0.05309198619794207,2,2,0.0
2,sig_has_yellow::stopped_vehicles,sig_has_yellow,stopped_vehicles,0.0,2,2,0.16256376883559354
2,sig_has_yellow::two_plus_bikes,sig_has_yellow,two_plus_bikes,0.08793824586022916,2,2,0.036633017463440755
2,time_of_day::dense_frame,time_of_day,dense_frame,0.05459736341489228,3,3,-0.1764880894051847
2,time_of_day::multiple_buses,time_of_day,multiple_buses,0.0,3,3,-0.4116288493076885
2,time_of_day::parked_vehicle,time_of_day,parked_vehicle,0.10400483935776522,2,2,0.0
2,time_of_day::stopped_vehicles,time_of_day,stopped_vehicles,0.4056998629169749,2,2,0.32690643502032385
2,time_of_day::two_plus_bikes,time_of_day,two_plus_bikes,0.2246630379238806,3,3,0.0
2,veh_density_bin::dense_frame,veh_density_bin,dense_frame,0.22129515648198197,1,1,0.0
2,veh_density_bin::multiple_buses,veh_density_bin,multiple_buses,0.15273902071712747,3,3,-0.08894747370213026
2,veh_density_bin::parked_vehicle,veh_density_bin,parked_vehicle,0.0,3,3,0.0
2,veh_density_bin::stopped_vehicles,veh_density_bin,stopped_vehicles,0.0,3,3,0.03521681527731779
2,veh_density_bin::two_plus_bikes,veh_density_bin,two_plus_bikes,0.1351173683709328,3,3,0.15987945067413337
3,hour::dense_frame,hour,dense_frame,0.09111614207223226,5,5,-0.0657380223911298
3,hour::multiple_buses,hour,multiple_buses,0.02691321432154286,10,10,-0.037840126683537145
3,hour::parked_vehicle,hour,parked_vehicle,0.14795013107291735,6,6,-0.07712166779356655
3,hour::stopped_vehicles,hour,stopped_vehicles,0.4439084529856054,6,8,0.10873237311919139
3,hour::two_plus_bikes,hour,two_plus_bikes,0.2060323949512526,9,11,0.027740447633643243
3,sig_has_pedestrian::dense_frame,sig_has_pedestrian,dense_frame,0.03644896557493535,2,2,-0.04487700874511774
3,sig_has_pedestrian::multiple_buses,sig_has_pedestrian,multiple_buses,0.06817636936533217,2,2,-0.1100458831490401
3,sig_has_pedestrian::parked_vehicle,sig_has_pedestrian,parked_vehicle,0.025283062008237676,2,2,0.03919913448933767
3,sig_has_pedestrian::stopped_vehicles,sig_has_pedestrian,stopped_vehicles,0.06472354439984197,2,2,0.012386974220143433
3,sig_has_pedestrian::two_plus_bikes,sig_has_pedestrian,two_plus_bikes,0.028631324034777385,2,2,0.0
3,sig_has_yellow::dense_frame,sig_has_yellow,dense_frame,0.0980400250722862,1,1,0.0
3,sig_has_yellow::multiple_buses,sig_has_yellow,multiple_buses,0.08492708133035902,2,2,-0.06943122193677728
3,sig_has_yellow::parked_vehicle,sig_has_yellow,parked_vehicle,0.03131470757052784,2,2,0.0
3,sig_has_yellow::stopped_vehicles,sig_has_yellow,stopped_vehicles,0.0,2,2,-0.024368410136184904
3,sig_has_yellow::two_plus_bikes,sig_has_yellow,two_plus_bikes,0.09492277324474827,2,2,0.0
3,time_of_day::dense_frame,time_of_day,dense_frame,0.05118754208738953,3,3,-0.02500594430464184
3,time_of_day::multiple_buses,time_of_day,multiple_buses,0.0,3,3,-0.07788360274770179
3,time_of_day::parked_vehicle,time_of_day,parked_vehicle,0.11221280721555973,2,2,0.014408280362257234
3,time_of_day::stopped_vehicles,time_of_day,stopped_vehicles,0.40086135489290153,2,2,0.3279615008130118
3,time_of_day::two_plus_bikes,time_of_day,two_plus_bikes,0.2092389344039297,3,3,0.0
3,veh_density_bin::dense_frame,veh_density_bin,dense_frame,0.20688972557632554,1,1,0.0
3,veh_density_bin::multiple_buses,veh_density_bin,multiple_buses,0.22403456000241626,3,3,-0.03007225154824647
3,veh_density_bin::parked_vehicle,veh_density_bin,parked_vehicle,0.0,3,3,0.0
3,veh_density_bin::stopped_vehicles,veh_density_bin,stopped_vehicles,0.0,3,3,-0.09004941221863709
3,veh_density_bin::two_plus_bikes,veh_density_bin,two_plus_bikes,0.1344169429051946,3,3,0.03668196104968003
4,hour::dense_frame,hour,dense_frame,0.09938027236847542,5,5,0.04401835325961604
4,hour::multiple_buses,hour,multiple_buses,0.03719758639017279,10,10,0.01962717425619063
4,hour::parked_vehicle,hour,parked_vehicle,0.13135000045184536,6,6,0.0
4,hour::stopped_vehicles,hour,stopped_vehicles,0.4476675094598083,8,8,0.10391816053417467
4,hour::two_plus_bikes,hour,two_plus_bikes,0.20999679619548978,11,11,-0.0243159741713473
4,sig_has_pedestrian::dense_frame,sig_has_pedestrian,dense_frame,0.04463949368740879,2,2,0.0
4,sig_has_pedestrian::multiple_buses,sig_has_pedestrian,multiple_buses,0.06980406576150984,2,2,-0.03953823433235353
4,sig_has_pedestrian::parked_vehicle,sig_has_pedestrian,parked_vehicle,0.019864075291498043,2,2,0.0
4,sig_has_pedestrian::stopped_vehicles,sig_has_pedestrian,stopped_vehicles,0.050506434220506165,2,2,0.03312711172719452
4,sig_has_pedestrian::two_plus_bikes,sig_has_pedestrian,two_plus_bikes,0.02403493721922607,2,2,-0.024230578295970487
4,sig_has_yellow::dense_frame,sig_has_yellow,dense_frame,0.09563821347175634,1,1,0.0
4,sig_has_yellow::multiple_buses,sig_has_yellow,multiple_buses,0.09699609665920404,2,2,0.03471561096838864
4,sig_has_yellow::parked_vehicle,sig_has_yellow,parked_vehicle,0.024871773752851635,2,2,0.0
4,sig_has_yellow::stopped_vehicles,sig_has_yellow,stopped_vehicles,0.0,2,2,-0.05076660651624824
4,sig_has_yellow::two_plus_bikes,sig_has_yellow,two_plus_bikes,0.07848407801964488,2,2,0.03471561096838864
4,time_of_day::dense_frame,time_of_day,dense_frame,0.05262619275341248,3,3,0.03159612145651693
4,time_of_day::multiple_buses,time_of_day,multiple_buses,0.0,3,3,-0.037049176621924196
4,time_of_day::parked_vehicle,time_of_day,parked_vehicle,0.10696410925118381,2,2,0.0
4,time_of_day::stopped_vehicles,time_of_day,stopped_vehicles,0.39705445190419003,2,2,0.1906512613253038
4,time_of_day::two_plus_bikes,time_of_day,two_plus_bikes,0.19956948243023082,3,3,-0.07788360274770179
4,veh_density_bin::dense_frame,veh_density_bin,dense_frame,0.20036974938705165,1,1,0.0
4,veh_density_bin::multiple_buses,veh_density_bin,multiple_buses,0.23416942262475093,3,3,-0.023143740645592426
4,veh_density_bin::parked_vehicle,veh_density_bin,parked_vehicle,0.0,3,3,0.0
4,veh_density_bin::stopped_vehicles,veh_density_bin,stopped_vehicles,0.0,3,3,-0.03159612145651693
4,veh_density_bin::two_plus_bikes,veh_density_bin,two_plus_bikes,0.12843405728212437,3,3,-0.007037030855394792
