pair,kind,selectivity,replicate,method,recall_at_10
location==삼정고가교,natural,0.04187,2,postfilter_hnsw_K1x,0.8301
location==삼정고가교,natural,0.04187,2,postfilter_hnsw_K2x,0.8616
location==삼정고가교,natural,0.04187,2,postfilter_hnsw_K4x,0.8616
location==삼정고가교,natural,0.04187,2,single_stage_ivf_batch_np8,0.9561
location==삼정고가교,natural,0.04187,2,single_stage_ivf_batch_np32,0.9973
location==삼정고가교,natural,0.04187,3,postfilter_hnsw_K1x,0.8328
location==삼정고가교,natural,0.04187,3,postfilter_hnsw_K2x,0.8633
location==삼정고가교,natural,0.04187,3,postfilter_hnsw_K4x,0.8633
location==삼정고가교,natural,0.04187,3,single_stage_ivf_batch_np8,0.9528
location==삼정고가교,natural,0.04187,3,single_stage_ivf_batch_np32,0.9976
location==삼정고가교,natural,0.04187,4,postfilter_hnsw_K1x,0.8371
location==삼정고가교,natural,0.04187,4,postfilter_hnsw_K2x,0.8667
location==삼정고가교,natural,0.04187,4,postfilter_hnsw_K4x,0.8667
location==삼정고가교,natural,0.04187,4,single_stage_ivf_batch_np8,0.9573
location==삼정고가교,natural,0.04187,4,single_stage_ivf_batch_np32,0.9981
location==삼정고가교,natural,0.04187,5,postfilter_hnsw_K1x,0.8217
location==삼정고가교,natural,0.04187,5,postfilter_hnsw_K2x,0.8559
location==삼정고가교,natural,0.04187,5,postfilter_hnsw_K4x,0.8559
location==삼정고가교,natural,0.04187,5,single_stage_ivf_batch_np8,0.9598
location==삼정고가교,natural,0.04187,5,single_stage_ivf_batch_np32,0.9964
location==계룡대교네거리,natural,0.03898,1,postfilter_hnsw_K1x,0.8128
location==계룡대교네거리,natural,0.03898,1,postfilter_hnsw_K2x,0.8355
location==계룡대교네거리,natural,0.03898,1,postfilter_hnsw_K4x,0.8355
location==계룡대교네거리,natural,0.03898,1,single_stage_ivf_batch_np8,0.9551
location==계룡대교네거리,natural,0.03898,1,single_stage_ivf_batch_np32,0.9966
location==계룡대교네거리,natural,0.03898,2,postfilter_hnsw_K1x,0.8236
location==계룡대교네거리,natural,0.03898,2,postfilter_hnsw_K2x,0.8515
location==계룡대교네거리,natural,0.03898,2,postfilter_hnsw_K4x,0.8515
location==계룡대교네거리,natural,0.03898,2,single_stage_ivf_batch_np8,0.9548
location==계룡대교네거리,natural,0.03898,2,single_stage_ivf_batch_np32,0.9979
location==계룡대교네거리,natural,0.03898,3,postfilter_hnsw_K1x,0.8057
location==계룡대교네거리,natural,0.03898,3,postfilter_hnsw_K2x,0.8306
location==계룡대교네거리,natural,0.03898,3,postfilter_hnsw_K4x,0.8306
location==계룡대교네거리,natural,0.03898,3,single_stage_ivf_batch_np8,0.9489
location==계룡대교네거리,natural,0.03898,3,single_stage_ivf_batch_np32,0.9975
location==계룡대교네거리,natural,0.03898,4,postfilter_hnsw_K1x,0.8124
location==계룡대교네거리,natural,0.03898,4,postfilter_hnsw_K2x,0.8395
location==계룡대교네거리,natural,0.03898,4,postfilter_hnsw_K4x,0.8395
location==계룡대교네거리,natural,0.03898,4,single_stage_ivf_batch_np8,0.9527
location==계룡대교네거리,natural,0.03898,4,single_stage_ivf_batch_np32,0.9977
location==계룡대교네거리,natural,0.03898,5,postfilter_hnsw_K1x,0.8099
location==계룡대교네거리,natural,0.03898,5,postfilter_hnsw_K2x,0.8378
location==계룡대교네거리,natural,0.03898,5,postfilter_hnsw_K4x,0.8378
location==계룡대교네거리,natural,0.03898,5,single_stage_ivf_batch_np8,0.9517
location==계룡대교네거리,natural,0.03898,5,single_stage_ivf_batch_np32,0.9981
date==20200907,natural,0.0769,1,postfilter_hnsw_K1x,0.8768
date==20200907,natural,0.0769,1,postfilter_hnsw_K2x,0.9619
date==20200907,natural,0.0769,1,postfilter_hnsw_K4x,0.9619
date==20200907,natural,0.0769,1,single_stage_ivf_batch_np8,0.9779
date==20200907,natural,0.0769,1,single_stage_ivf_batch_np32,0.9989
date==20200907,natural,0.0769,2,postfilter_hnsw_K1x,0.8674
date==20200907,natural,0.0769,2,postfilter_hnsw_K2x,0.9627
date==20200907,natural,0.0769,2,postfilter_hnsw_K4x,0.9627
date==20200907,natural,0.0769,2,single_stage_ivf_batch_np8,0.9767
date==20200907,natural,0.0769,2,single_stage_ivf_batch_np32,0.999
date==20200907,natural,0.0769,3,postfilter_hnsw_K1x,0.8806
date==20200907,natural,0.0769,3,postfilter_hnsw_K2x,0.9621
date==20200907,natural,0.0769,3,postfilter_hnsw_K4x,0.9621
date==20200907,natural,0.0769,3,single_stage_ivf_batch_np8,0.9755
date==20200907,natural,0.0769,3,single_stage_ivf_batch_np32,0.9989
date==20200907,natural,0.0769,4,postfilter_hnsw_K1x,0.881
date==20200907,natural,0.0769,4,postfilter_hnsw_K2x,0.9615
date==20200907,natural,0.0769,4,postfilter_hnsw_K4x,0.9615
date==20200907,natural,0.0769,4,single_stage_ivf_batch_np8,0.9804
date==20200907,natural,0.0769,4,single_stage_ivf_batch_np32,0.9993
date==20200907,natural,0.0769,5,postfilter_hnsw_K1x,0.8749
date==20200907,natural,0.0769,5,postfilter_hnsw_K2x,0.9592
date==20200907,natural,0.0769,5,postfilter_hnsw_K4x,0.9592
date==20200907,natural,0.0769,5,single_stage_ivf_batch_np8,0.978
date==20200907,natural,0.0769,5,single_stage_ivf_batch_np32,0.9986
date==20200908,natural,0.06477,1,postfilter_hnsw_K1x,0.8708
date==20200908,natural,0.06477,1,postfilter_hnsw_K2x,0.9398
date==20200908,natural,0.06477,1,postfilter_hnsw_K4x,0.9398
date==20200908,natural,0.06477,1,single_stage_ivf_batch_np8,0.9748
date==20200908,natural,0.06477,1,single_stage_ivf_batch_np32,0.9984
date==20200908,natural,0.06477,2,postfilter_hnsw_K1x,0.8581
date==20200908,natural,0.06477,2,postfilter_hnsw_K2x,0.9363
date==20200908,natural,0.06477,2,postfilter_hnsw_K4x,0.9364
date==20200908,natural,0.06477,2,single_stage_ivf_batch_np8,0.9703
date==20200908,natural,0.06477,2,single_stage_ivf_batch_np32,0.9984
date==20200908,natural,0.06477,3,postfilter_hnsw_K1x,0.8696
date==20200908,natural,0.06477,3,postfilter_hnsw_K2x,0.9408
date==20200908,natural,0.06477,3,postfilter_hnsw_K4x,0.9408
date==20200908,natural,0.06477,3,single_stage_ivf_batch_np8,0.9732
date==20200908,natural,0.06477,3,single_stage_ivf_batch_np32,0.9988
date==20200908,natural,0.06477,4,postfilter_hnsw_K1x,0.8715
date==20200908,natural,0.06477,4,postfilter_hnsw_K2x,0.9387
date==20200908,natural,0.06477,4,postfilter_hnsw_K4x,0.9389
date==20200908,natural,0.06477,4,single_stage_ivf_batch_np8,0.9748
date==20200908,natural,0.06477,4,single_stage_ivf_batch_np32,0.9989
date==20200908,natural,0.06477,5,postfilter_hnsw_K1x,0.8584
date==20200908,natural,0.06477,5,postfilter_hnsw_K2x,0.9374
