engine,condition,predicate,kind,pair,selectivity,subset,gt_cluster_med_rank,recall_at_10,r_lo,r_hi,p50_ms_clientRT,flat_cutoff,flat_path,filter_strategy
weaviate,w3,CTRL(s=0.0485)|location==중동사거리,control,location==중동사거리,0.04851,6429,109.0,0.9032,0.8955,0.9105,4.416,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,location==원골네거리,natural,location==원골네거리,0.04678,6199,1000.0,0.9762,0.9723,0.9799,4.092,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0468)|location==원골네거리,control,location==원골네거리,0.04678,6199,111.9,0.9089,0.9015,0.9158,4.19,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,location==연구단지네거리,natural,location==연구단지네거리,0.04417,5853,1000.0,0.9787,0.9747,0.9823,4.29,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0442)|location==연구단지네거리,control,location==연구단지네거리,0.04417,5853,117.2,0.8972,0.8894,0.9046,4.329,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,location==삼정고가교,natural,location==삼정고가교,0.04187,5548,1000.0,0.8778,0.8618,0.8935,4.356,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0419)|location==삼정고가교,control,location==삼정고가교,0.04187,5548,123.8,0.8847,0.8751,0.8938,4.659,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,location==계룡대교네거리,natural,location==계룡대교네거리,0.03898,5166,1000.0,0.9802,0.9768,0.9834,4.096,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0390)|location==계룡대교네거리,control,location==계룡대교네거리,0.03898,5166,130.5,0.8748,0.8659,0.884,5.176,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,date==20200907,natural,date==20200907,0.0769,10191,1000.0,0.9808,0.9773,0.9841,6.113,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0769)|date==20200907,control,date==20200907,0.0769,10191,68.5,0.9451,0.9396,0.9504,4.803,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,date==20200908,natural,date==20200908,0.06477,8583,1000.0,0.9758,0.9719,0.9794,6.218,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0648)|date==20200908,control,date==20200908,0.06477,8583,81.7,0.9349,0.9282,0.9416,6.453,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,date==20200909,natural,date==20200909,0.06105,8090,1000.0,0.9649,0.9601,0.9695,6.511,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0610)|date==20200909,control,date==20200909,0.06105,8090,85.4,0.9288,0.922,0.9355,5.857,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,date==20200915,natural,date==20200915,0.04934,6538,1000.0,0.9664,0.9617,0.9708,3.929,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0493)|date==20200915,control,date==20200915,0.04934,6538,109.7,0.9085,0.9003,0.9165,5.311,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,hour==01,natural,hour==01,0.02637,3494,1000.0,0.902,0.8867,0.9162,6.122,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0264)|hour==01,control,hour==01,0.02637,3494,197.6,0.7482,0.7319,0.7637,6.076,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,hour==02,natural,hour==02,0.06573,8711,1000.0,0.8996,0.8831,0.915,6.1,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0657)|hour==02,control,hour==02,0.06573,8711,75.0,0.9381,0.9315,0.9442,5.077,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,hour==05,natural,hour==05,0.05311,7038,1000.0,0.9308,0.9203,0.9409,5.72,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0531)|hour==05,control,hour==05,0.05311,7038,95.5,0.9102,0.9025,0.9177,4.512,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,hour==06,natural,hour==06,0.18291,24239,233.0,0.9658,0.9561,0.9745,5.079,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.1829)|hour==06,control,hour==06,0.18291,24239,28.2,0.9843,0.9815,0.9872,4.875,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,hour==07,natural,hour==07,0.0474,6281,1000.0,0.776,0.7558,0.7961,4.927,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0474)|hour==07,control,hour==07,0.0474,6281,110.8,0.8983,0.8902,0.906,5.149,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,hour==08,natural,hour==08,0.02978,3947,1000.0,0.8251,0.8081,0.8418,5.407,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0298)|hour==08,control,hour==08,0.02978,3947,170.1,0.8227,0.811,0.8336,7.714,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,hour==11,natural,hour==11,0.05464,7241,1000.0,0.7127,0.6861,0.7373,6.676,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0546)|hour==11,control,hour==11,0.05464,7241,96.1,0.917,0.9099,0.9242,5.053,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
