query_id,category,document,split,view,budget,selected_chunks,prompt_chars,hit,coverage,precision,evidence_f1,sufficient,gold_chars,retrieved_union_chars,overlap_chars
6,contractnli,contractnli/WECC_Confidentiality_Agreement.txt,dev,naive256,2048,8,2044,1.0,0.1426872770511296,0.05870841487279843,0.08318890814558058,0.0,841.0,2044.0,120.0
6,contractnli,contractnli/WECC_Confidentiality_Agreement.txt,dev,naive256,4096,16,4091,1.0,0.1426872770511296,0.029332681495966757,0.04866180048661801,0.0,841.0,4091.0,120.0
6,contractnli,contractnli/WECC_Confidentiality_Agreement.txt,dev,naive256,8192,32,8184,1.0,1.0,0.10276148582600196,0.18637119113573408,1.0,841.0,8184.0,841.0
6,contractnli,contractnli/WECC_Confidentiality_Agreement.txt,dev,naive512,2048,4,2048,1.0,0.1426872770511296,0.05859375,0.08307372793354102,0.0,841.0,2048.0,120.0
6,contractnli,contractnli/WECC_Confidentiality_Agreement.txt,dev,naive512,4096,8,4094,1.0,0.4233055885850178,0.08695652173913043,0.1442755825734549,0.0,841.0,4094.0,356.0
6,contractnli,contractnli/WECC_Confidentiality_Agreement.txt,dev,naive512,8192,16,8129,1.0,1.0,0.10345675974904663,0.1875139353400223,1.0,841.0,8129.0,841.0
6,contractnli,contractnli/WECC_Confidentiality_Agreement.txt,dev,rcts512,2048,7,1964,0.0,0.0,0.0,0.0,0.0,841.0,1964.0,0.0
6,contractnli,contractnli/WECC_Confidentiality_Agreement.txt,dev,rcts512,4096,12,4052,0.0,0.0,0.0,0.0,0.0,841.0,4052.0,0.0
6,contractnli,contractnli/WECC_Confidentiality_Agreement.txt,dev,rcts512,8192,25,8167,1.0,1.0,0.10297538875964246,0.1867229129662522,1.0,841.0,8167.0,841.0
7,contractnli,contractnli/QuickBooks-NDA-template.txt,holdout,naive1024,2048,2,2047,1.0,1.0,0.1538837322911578,0.266723116003387,1.0,315.0,2047.0,315.0
7,contractnli,contractnli/QuickBooks-NDA-template.txt,holdout,naive1024,4096,4,4095,1.0,1.0,0.07692307692307693,0.14285714285714288,1.0,315.0,4095.0,315.0
7,contractnli,contractnli/QuickBooks-NDA-template.txt,holdout,naive1024,8192,8,8102,1.0,1.0,0.038879289064428536,0.07484852085065938,1.0,315.0,8102.0,315.0
7,contractnli,contractnli/QuickBooks-NDA-template.txt,holdout,naive256,2048,8,2047,1.0,0.9968253968253968,0.1533952125061065,0.26587637595258257,1.0,315.0,2047.0,314.0
7,contractnli,contractnli/QuickBooks-NDA-template.txt,holdout,naive256,4096,16,4088,1.0,0.9968253968253968,0.07681017612524461,0.14263002498296615,1.0,315.0,4088.0,314.0
7,contractnli,contractnli/QuickBooks-NDA-template.txt,holdout,naive256,8192,32,8092,1.0,0.9968253968253968,0.03880375679683638,0.07469965504936363,1.0,315.0,8092.0,314.0
7,contractnli,contractnli/QuickBooks-NDA-template.txt,holdout,naive512,2048,4,2046,1.0,0.9968253968253968,0.15347018572825025,0.265988987717069,1.0,315.0,2046.0,314.0
7,contractnli,contractnli/QuickBooks-NDA-template.txt,holdout,naive512,4096,8,4093,1.0,0.9968253968253968,0.07671634497923284,0.14246823956442833,1.0,315.0,4093.0,314.0
7,contractnli,contractnli/QuickBooks-NDA-template.txt,holdout,naive512,8192,16,8099,1.0,0.9968253968253968,0.038770218545499446,0.07463750891371523,1.0,315.0,8099.0,314.0
7,contractnli,contractnli/QuickBooks-NDA-template.txt,holdout,rcts512,2048,7,1964,1.0,1.0,0.16038696537678207,0.2764370337867486,1.0,315.0,1964.0,315.0
7,contractnli,contractnli/QuickBooks-NDA-template.txt,holdout,rcts512,4096,15,4077,1.0,1.0,0.0772626931567329,0.1434426229508197,1.0,315.0,4077.0,315.0
