predicate,kind,selectivity,subset,gt_cluster_med_rank,method,recall_at_10,r_lo,r_hi,p50_ms,p50_lo,p50_hi,p95_ms,p95_lo,p95_hi,p99_ms,build_s,selector_build_ms,escalated,kprime,degenerate
location==연구단지네거리,natural,0.04417,5853,1000.0,postfilter_hnsw_K4x,0.1337,0.1177,0.1509,0.1209,0.1183,0.1225,0.1563,0.1511,0.1618,0.1755,,,,908.0,False
CTRL(s=0.0442)|location==연구단지네거리,control,0.04417,5853,117.9,single_stage_ivf_batch_np8,0.9539,0.9476,0.9599,0.0675,0.0672,0.0678,0.0783,0.0753,0.0823,0.0934,,0.46,,,
CTRL(s=0.0442)|location==연구단지네거리,control,0.04417,5853,117.9,single_stage_ivf_batch_np32,0.9974,0.9961,0.9985,0.093,0.0923,0.0934,0.1172,0.1124,0.1234,0.1318,,0.46,,,
CTRL(s=0.0442)|location==연구단지네거리,control,0.04417,5853,117.9,prefilter_flat,1.0,1.0,1.0,0.4371,0.4347,0.4407,0.552,0.5409,0.5651,0.6355,0.002,,,,
CTRL(s=0.0442)|location==연구단지네거리,control,0.04417,5853,117.9,postfilter_hnsw_K2x,0.8739,0.8657,0.8823,0.0991,0.0964,0.1006,0.1321,0.1293,0.1366,0.1498,,,,454.0,False
CTRL(s=0.0442)|location==연구단지네거리,control,0.04417,5853,117.9,prefilter_hnsw_ef64,0.9982,0.9955,1.0,0.0336,0.0327,0.0346,0.0466,0.0455,0.0475,0.0496,0.789,,,,
CTRL(s=0.0442)|location==연구단지네거리,control,0.04417,5853,117.9,postfilter_hnsw_K1x,0.841,0.8309,0.851,0.0762,0.0748,0.0773,0.0983,0.0958,0.1002,0.1113,,,,227.0,False
CTRL(s=0.0442)|location==연구단지네거리,control,0.04417,5853,117.9,postfilter_hnsw_K4x,0.8739,0.8657,0.882,0.1205,0.119,0.1225,0.1557,0.1505,0.1615,0.1766,,,,908.0,False
location==삼정고가교,natural,0.04187,5548,1000.0,prefilter_flat,1.0,1.0,1.0,0.3892,0.3877,0.3903,0.505,0.4964,0.5153,0.5727,0.001,,,,
location==삼정고가교,natural,0.04187,5548,1000.0,postfilter_hnsw_K4x,0.0472,0.0348,0.0609,0.1198,0.1179,0.1222,0.1545,0.15,0.1594,0.1712,,,,956.0,False
location==삼정고가교,natural,0.04187,5548,1000.0,prefilter_hnsw_ef64,0.9369,0.928,0.9455,0.0329,0.0324,0.0333,0.0412,0.0396,0.0431,0.0479,0.595,,,,
location==삼정고가교,natural,0.04187,5548,1000.0,postfilter_hnsw_K2x,0.0466,0.0339,0.0597,0.0955,0.0924,0.0978,0.1291,0.125,0.133,0.143,,,,478.0,False
