predicate,kind,selectivity,subset,gt_cluster_med_rank,method,recall_at_10,r_lo,r_hi,p50_ms,p50_lo,p50_hi,p95_ms,p95_lo,p95_hi,p99_ms,build_s,selector_build_ms,escalated,kprime,degenerate
CTRL(s=0.0492)|hour==13,control,0.04921,6522,108.8,single_stage_ivf_batch_np8,0.9656,0.9605,0.9704,0.067,0.0666,0.0673,0.0728,0.0717,0.0737,0.0782,,0.52,,,
CTRL(s=0.0492)|hour==13,control,0.04921,6522,108.8,single_stage_ivf_batch_np32,0.9983,0.9973,0.9991,0.0934,0.0928,0.0939,0.1038,0.1027,0.1072,0.1142,,0.52,,,
CTRL(s=0.0492)|hour==13,control,0.04921,6522,108.8,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0344,0.0339,0.0351,0.0467,0.0459,0.0483,0.0499,0.914,,,,
CTRL(s=0.0492)|hour==13,control,0.04921,6522,108.8,postfilter_hnsw_K2x,0.8972,0.8896,0.9046,0.0945,0.0919,0.0971,0.1252,0.1222,0.1285,0.1397,,,,408.0,False
CTRL(s=0.0492)|hour==13,control,0.04921,6522,108.8,postfilter_hnsw_K1x,0.8389,0.8285,0.8491,0.0721,0.0712,0.0732,0.093,0.091,0.0966,0.1058,,,,204.0,False
CTRL(s=0.0492)|hour==13,control,0.04921,6522,108.8,prefilter_flat,1.0,1.0,1.0,0.502,0.5007,0.504,0.5845,0.5794,0.5955,0.6521,0.002,,,,
hour==14,natural,0.0449,5950,1000.0,single_stage_ivf_batch_np8,0.3629,0.335,0.392,0.0601,0.0599,0.0603,0.0785,0.0769,0.0795,0.0889,,0.48,,,
hour==14,natural,0.0449,5950,1000.0,single_stage_ivf_batch_np32,0.5324,0.504,0.5615,0.0746,0.0718,0.0781,0.1322,0.1208,0.1394,0.1576,,0.48,,,
hour==14,natural,0.0449,5950,1000.0,single_stage_ivf_batch_np128,0.8116,0.789,0.8343,0.1355,0.132,0.1414,0.344,0.324,0.3599,0.4262,,0.48,True,,
hour==14,natural,0.0449,5950,1000.0,prefilter_flat,1.0,1.0,1.0,0.4342,0.4323,0.4351,0.5357,0.5286,0.545,0.5935,0.001,,,,
hour==14,natural,0.0449,5950,1000.0,postfilter_hnsw_K4x,0.3427,0.3176,0.3688,0.1185,0.1156,0.1205,0.1516,0.148,0.1574,0.1675,,,,892.0,False
hour==14,natural,0.0449,5950,1000.0,prefilter_hnsw_ef64,0.9927,0.99,0.995,0.0332,0.0322,0.0342,0.0434,0.0426,0.046,0.0515,0.728,,,,
hour==14,natural,0.0449,5950,1000.0,postfilter_hnsw_K1x,0.2951,0.2691,0.322,0.0754,0.074,0.077,0.0962,0.0939,0.1,0.1152,,,,223.0,False
hour==14,natural,0.0449,5950,1000.0,postfilter_hnsw_K2x,0.3354,0.3093,0.3617,0.0999,0.0971,0.1022,0.1332,0.1292,0.1368,0.1541,,,,446.0,False
CTRL(s=0.0449)|hour==14,control,0.0449,5950,117.5,single_stage_ivf_batch_np8,0.9581,0.9522,0.9638,0.067,0.0667,0.0672,0.0722,0.0717,0.0729,0.0769,,0.51,,,
CTRL(s=0.0449)|hour==14,control,0.0449,5950,117.5,single_stage_ivf_batch_np32,0.9981,0.9971,0.999,0.0915,0.0911,0.0919,0.0999,0.0993,0.1011,0.1075,,0.51,,,
CTRL(s=0.0449)|hour==14,control,0.0449,5950,117.5,prefilter_hnsw_ef64,0.9999,0.9997,1.0,0.0339,0.0328,0.0348,0.0458,0.0448,0.0467,0.0486,0.796,,,,
CTRL(s=0.0449)|hour==14,control,0.0449,5950,117.5,prefilter_flat,1.0,1.0,1.0,0.4317,0.4298,0.4335,0.5389,0.5342,0.5702,0.6171,0.002,,,,
CTRL(s=0.0449)|hour==14,control,0.0449,5950,117.5,postfilter_hnsw_K1x,0.8346,0.824,0.8451,0.0734,0.0722,0.0746,0.0941,0.0917,0.0963,0.1078,,,,223.0,False
CTRL(s=0.0449)|hour==14,control,0.0449,5950,117.5,postfilter_hnsw_K2x,0.876,0.8673,0.8843,0.0963,0.0934,0.099,0.1282,0.1244,0.1319,0.1443,,,,446.0,False
CTRL(s=0.0449)|hour==14,control,0.0449,5950,117.5,postfilter_hnsw_K4x,0.876,0.8674,0.8844,0.1171,0.1144,0.1189,0.1494,0.1468,0.1571,0.172,,,,892.0,False
hour==16,natural,0.03445,4565,1000.0,postfilter_hnsw_K1x,0.1815,0.1608,0.2028,0.0821,0.0807,0.0842,0.1066,0.1032,0.1093,0.1217,,,,291.0,False
hour==16,natural,0.03445,4565,1000.0,postfilter_hnsw_K4x,0.2288,0.2073,0.2507,0.1278,0.1252,0.131,0.1625,0.1585,0.1659,0.1773,,,,1164.0,False
hour==16,natural,0.03445,4565,1000.0,prefilter_flat,1.0,1.0,1.0,0.2806,0.2803,0.2819,0.3867,0.3767,0.3925,0.4086,0.001,,,,
hour==16,natural,0.03445,4565,1000.0,postfilter_hnsw_K2x,0.2263,0.2046,0.2479,0.1014,0.0992,0.1039,0.1381,0.1338,0.1431,0.1592,,,,582.0,False
hour==16,natural,0.03445,4565,1000.0,single_stage_ivf_batch_np8,0.2381,0.2148,0.263,0.0607,0.0606,0.061,0.0727,0.0702,0.0751,0.0884,,0.32,,,
hour==16,natural,0.03445,4565,1000.0,single_stage_ivf_batch_np32,0.5557,0.5289,0.5826,0.0735,0.073,0.0747,0.1104,0.0998,0.1145,0.167,,0.32,,,
hour==16,natural,0.03445,4565,1000.0,single_stage_ivf_batch_np128,0.9453,0.9342,0.9556,0.144,0.1414,0.1507,0.1985,0.1936,0.2067,0.2328,,0.32,True,,
hour==16,natural,0.03445,4565,1000.0,prefilter_hnsw_ef64,0.98,0.9745,0.985,0.0313,0.0307,0.0321,0.0398,0.0389,0.0411,0.0472,0.473,,,,
CTRL(s=0.0344)|hour==16,control,0.03445,4565,147.8,postfilter_hnsw_K4x,0.8057,0.7951,0.8161,0.1316,0.1297,0.1357,0.1673,0.1628,0.1729,0.1883,,,,1164.0,False
CTRL(s=0.0344)|hour==16,control,0.03445,4565,147.8,postfilter_hnsw_K1x,0.7857,0.7738,0.7969,0.0851,0.0836,0.0871,0.1099,0.1078,0.1137,0.1248,,,,291.0,False
CTRL(s=0.0344)|hour==16,control,0.03445,4565,147.8,prefilter_flat,1.0,1.0,1.0,0.2889,0.2877,0.2905,0.389,0.3844,0.3913,0.4302,0.001,,,,
CTRL(s=0.0344)|hour==16,control,0.03445,4565,147.8,single_stage_ivf_batch_np8,0.9432,0.9364,0.9499,0.0657,0.0655,0.0659,0.0699,0.0694,0.0704,0.0728,,0.38,,,
CTRL(s=0.0344)|hour==16,control,0.03445,4565,147.8,single_stage_ivf_batch_np32,0.9965,0.9946,0.9981,0.0878,0.0875,0.0882,0.0942,0.0933,0.0956,0.1025,,0.38,,,
CTRL(s=0.0344)|hour==16,control,0.03445,4565,147.8,postfilter_hnsw_K2x,0.8057,0.7951,0.8159,0.1053,0.1024,0.1074,0.1421,0.1386,0.1484,0.1591,,,,582.0,False
CTRL(s=0.0344)|hour==16,control,0.03445,4565,147.8,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0337,0.0331,0.0345,0.045,0.0437,0.0457,0.0474,0.562,,,,
hour==17,natural,0.12603,16702,218.4,prefilter_hnsw_ef64,0.9904,0.9863,0.9939,0.0355,0.0344,0.0365,0.0476,0.0467,0.0487,0.0519,2.622,,,,
hour==17,natural,0.12603,16702,218.4,single_stage_ivf_batch_np8,0.6662,0.6393,0.6916,0.0676,0.0666,0.0691,0.1115,0.1015,0.1179,0.1322,,0.96,,,
hour==17,natural,0.12603,16702,218.4,single_stage_ivf_batch_np32,0.945,0.9342,0.9546,0.1061,0.1049,0.1079,0.2017,0.1927,0.2158,0.2582,,0.96,,,
hour==17,natural,0.12603,16702,218.4,postfilter_hnsw_K4x,0.5474,0.5212,0.5733,0.0878,0.0861,0.0896,0.1155,0.1107,0.1179,0.1285,,,,320.0,False
hour==17,natural,0.12603,16702,218.4,prefilter_flat,1.0,1.0,1.0,1.5564,1.5515,1.5628,1.6389,1.6282,1.6677,1.7479,0.013,,,,
hour==17,natural,0.12603,16702,218.4,postfilter_hnsw_K2x,0.4246,0.3976,0.4523,0.0639,0.063,0.0654,0.0831,0.0809,0.0856,0.0937,,,,160.0,False
hour==17,natural,0.12603,16702,218.4,postfilter_hnsw_K1x,0.3125,0.2871,0.3382,0.0499,0.0492,0.0508,0.0654,0.0638,0.0673,0.074,,,,80.0,False
CTRL(s=0.1260)|hour==17,control,0.12603,16702,41.4,postfilter_hnsw_K4x,0.9901,0.9874,0.9926,0.0864,0.085,0.0886,0.1137,0.1096,0.1164,0.1257,,,,320.0,False
CTRL(s=0.1260)|hour==17,control,0.12603,16702,41.4,prefilter_hnsw_ef64,0.9999,0.9997,1.0,0.0346,0.0338,0.0355,0.0508,0.0491,0.0513,0.0552,3.054,,,,
CTRL(s=0.1260)|hour==17,control,0.12603,16702,41.4,postfilter_hnsw_K2x,0.99,0.9874,0.9924,0.0663,0.0646,0.0673,0.0858,0.0832,0.0882,0.0957,,,,160.0,False
CTRL(s=0.1260)|hour==17,control,0.12603,16702,41.4,prefilter_flat,1.0,1.0,1.0,1.572,1.5651,1.5784,1.6667,1.6483,1.6961,1.7371,0.013,,,,
CTRL(s=0.1260)|hour==17,control,0.12603,16702,41.4,postfilter_hnsw_K1x,0.8885,0.8788,0.8981,0.0501,0.0495,0.0509,0.0657,0.064,0.0685,0.0772,,,,80.0,False
CTRL(s=0.1260)|hour==17,control,0.12603,16702,41.4,single_stage_ivf_batch_np8,0.987,0.9841,0.9898,0.0723,0.0719,0.0725,0.0814,0.0802,0.082,0.0837,,1.19,,,
CTRL(s=0.1260)|hour==17,control,0.12603,16702,41.4,single_stage_ivf_batch_np32,0.9996,0.9992,0.9999,0.1207,0.1198,0.1215,0.1454,0.1384,0.1507,0.1703,,1.19,,,
hour==18,natural,0.04525,5996,768.0,postfilter_hnsw_K2x,0.3317,0.3069,0.3568,0.0955,0.0933,0.0979,0.1278,0.1241,0.1314,0.1443,,,,444.0,False
hour==18,natural,0.04525,5996,768.0,prefilter_hnsw_ef64,0.986,0.9828,0.989,0.0349,0.0342,0.0355,0.0441,0.0431,0.0452,0.0483,0.734,,,,
hour==18,natural,0.04525,5996,768.0,postfilter_hnsw_K1x,0.2717,0.2476,0.2962,0.074,0.0724,0.0753,0.0948,0.0923,0.0972,0.1085,,,,222.0,False
hour==18,natural,0.04525,5996,768.0,single_stage_ivf_batch_np8,0.4047,0.3769,0.4322,0.0606,0.0604,0.0609,0.0804,0.0774,0.0848,0.0903,,0.44,,,
hour==18,natural,0.04525,5996,768.0,single_stage_ivf_batch_np32,0.5923,0.5645,0.62,0.08,0.0756,0.0829,0.1499,0.1427,0.1574,0.1686,,0.44,,,
hour==18,natural,0.04525,5996,768.0,single_stage_ivf_batch_np128,0.928,0.9145,0.9401,0.1691,0.166,0.1713,0.3608,0.3444,0.3872,0.4361,,0.44,True,,
hour==18,natural,0.04525,5996,768.0,prefilter_flat,1.0,1.0,1.0,0.4439,0.4412,0.4459,0.558,0.5442,0.574,0.6318,0.001,,,,
hour==18,natural,0.04525,5996,768.0,postfilter_hnsw_K4x,0.3404,0.3168,0.3636,0.1208,0.1188,0.123,0.1582,0.154,0.1619,0.1747,,,,888.0,False
CTRL(s=0.0452)|hour==18,control,0.04525,5996,117.8,prefilter_hnsw_ef64,0.9998,0.9995,1.0,0.034,0.0333,0.0348,0.0456,0.0447,0.0473,0.0497,0.825,,,,
CTRL(s=0.0452)|hour==18,control,0.04525,5996,117.8,prefilter_flat,1.0,1.0,1.0,0.4519,0.4512,0.4532,0.5436,0.5331,0.5628,0.5977,0.002,,,,
CTRL(s=0.0452)|hour==18,control,0.04525,5996,117.8,postfilter_hnsw_K1x,0.8353,0.8243,0.8455,0.0757,0.0743,0.077,0.0974,0.0947,0.1013,0.1143,,,,222.0,False
CTRL(s=0.0452)|hour==18,control,0.04525,5996,117.8,postfilter_hnsw_K2x,0.8731,0.8642,0.8815,0.0974,0.0947,0.1007,0.13,0.1273,0.1341,0.1479,,,,444.0,False
CTRL(s=0.0452)|hour==18,control,0.04525,5996,117.8,postfilter_hnsw_K4x,0.8731,0.8643,0.8819,0.1212,0.1184,0.1239,0.1581,0.1519,0.1634,0.1824,,,,888.0,False
CTRL(s=0.0452)|hour==18,control,0.04525,5996,117.8,single_stage_ivf_batch_np8,0.9615,0.9559,0.9667,0.0666,0.0664,0.0668,0.0708,0.07,0.0714,0.0742,,0.53,,,
CTRL(s=0.0452)|hour==18,control,0.04525,5996,117.8,single_stage_ivf_batch_np32,0.9978,0.9967,0.9988,0.0918,0.0915,0.0922,0.0989,0.0982,0.0999,0.1085,,0.53,,,
hour==19,natural,0.08022,10631,1000.0,postfilter_hnsw_K2x,0.2015,0.1785,0.2254,0.0793,0.0781,0.0806,0.1017,0.0993,0.1056,0.115,,,,250.0,False
hour==19,natural,0.08022,10631,1000.0,prefilter_flat,1.0,1.0,1.0,0.9529,0.9485,0.9569,1.0501,1.0343,1.0645,1.119,0.005,,,,
hour==19,natural,0.08022,10631,1000.0,prefilter_hnsw_ef64,0.9852,0.9816,0.9886,0.0379,0.0369,0.0385,0.052,0.0504,0.0531,0.0557,1.637,,,,
hour==19,natural,0.08022,10631,1000.0,postfilter_hnsw_K1x,0.1704,0.1483,0.1929,0.0577,0.057,0.0587,0.0746,0.0731,0.0768,0.0873,,,,125.0,False
hour==19,natural,0.08022,10631,1000.0,single_stage_ivf_batch_np8,0.2458,0.2219,0.2705,0.0601,0.0599,0.0602,0.0936,0.0876,0.1028,0.1179,,0.77,,,
hour==19,natural,0.08022,10631,1000.0,single_stage_ivf_batch_np32,0.5049,0.4762,0.534,0.0728,0.0717,0.0749,0.1647,0.1489,0.1924,0.2686,,0.77,,,
hour==19,natural,0.08022,10631,1000.0,single_stage_ivf_batch_np128,0.8669,0.8481,0.8853,0.1655,0.1552,0.173,0.4668,0.3928,0.506,0.6382,,0.77,True,,
hour==19,natural,0.08022,10631,1000.0,postfilter_hnsw_K4x,0.247,0.2243,0.2709,0.0976,0.0952,0.1004,0.1332,0.1288,0.1374,0.1473,,,,500.0,False
CTRL(s=0.0802)|hour==19,control,0.08022,10631,63.0,single_stage_ivf_batch_np8,0.9803,0.9764,0.984,0.0681,0.0679,0.0684,0.0758,0.0746,0.0767,0.0786,,0.88,,,
CTRL(s=0.0802)|hour==19,control,0.08022,10631,63.0,single_stage_ivf_batch_np32,0.9993,0.9987,0.9998,0.1045,0.1038,0.105,0.1185,0.1166,0.1231,0.1348,,0.88,,,
CTRL(s=0.0802)|hour==19,control,0.08022,10631,63.0,postfilter_hnsw_K2x,0.9661,0.9619,0.9701,0.0802,0.0789,0.082,0.1053,0.1021,0.1089,0.1156,,,,250.0,False
CTRL(s=0.0802)|hour==19,control,0.08022,10631,63.0,postfilter_hnsw_K1x,0.8793,0.869,0.8896,0.061,0.0599,0.0621,0.0791,0.0778,0.0812,0.0877,,,,125.0,False
CTRL(s=0.0802)|hour==19,control,0.08022,10631,63.0,prefilter_flat,1.0,1.0,1.0,0.9589,0.9573,0.964,1.0506,1.0366,1.0608,1.0917,0.003,,,,
CTRL(s=0.0802)|hour==19,control,0.08022,10631,63.0,prefilter_hnsw_ef64,0.9999,0.9997,1.0,0.0332,0.0321,0.034,0.0483,0.0471,0.049,0.0508,1.726,,,,
CTRL(s=0.0802)|hour==19,control,0.08022,10631,63.0,postfilter_hnsw_K4x,0.9661,0.9621,0.9701,0.0975,0.0958,0.1004,0.1319,0.1297,0.1366,0.1488,,,,500.0,False
"hour in [06,18] (daytime)",composite,0.7737,102532,4.5,single_stage_ivf_batch_np8,0.961,0.95,0.971,0.1141,0.1112,0.1155,0.1632,0.1546,0.1679,0.1883,,5.2,,,
"hour in [06,18] (daytime)",composite,0.7737,102532,4.5,single_stage_ivf_batch_np32,0.9991,0.9985,0.9996,0.3549,0.3418,0.3703,0.5168,0.5045,0.5338,0.5899,,5.2,,,
"hour in [06,18] (daytime)",composite,0.7737,102532,4.5,single_stage_ivf_bitmap_np32,0.9991,0.9985,0.9996,0.3309,0.3209,0.3417,0.4936,0.4753,0.5056,0.5709,,49.28,,,
"hour in [06,18] (daytime)",composite,0.7737,102532,4.5,postfilter_hnsw_K4x,0.87,0.8493,0.889,0.0477,0.0469,0.0486,0.0629,0.0622,0.0654,0.0729,,,,52.0,False
"hour in [06,18] (daytime)",composite,0.7737,102532,4.5,postfilter_hnsw_K2x,0.8478,0.8266,0.8692,0.0454,0.0444,0.0463,0.0609,0.0589,0.063,0.0672,,,,26.0,False
"hour in [06,18] (daytime)",composite,0.7737,102532,4.5,prefilter_flat,1.0,1.0,1.0,10.0107,10.0044,10.0237,10.3725,10.3013,10.4075,10.558,0.075,,,,
"hour in [06,18] (daytime)",composite,0.7737,102532,4.5,postfilter_hnsw_K1x,0.8214,0.7986,0.8434,0.0432,0.0424,0.0441,0.0577,0.0559,0.0608,0.0686,,,,13.0,False
"hour in [06,18] (daytime)",composite,0.7737,102532,4.5,prefilter_hnsw_ef64,0.998,0.9956,0.9995,0.0407,0.0394,0.0415,0.0561,0.054,0.0576,0.0667,24.222,,,,
"CTRL(s=0.7737)|hour in [06,18] (daytime)",control,0.7737,102532,5.9,prefilter_hnsw_ef64,0.9993,0.9987,0.9998,0.0393,0.0385,0.0404,0.0526,0.051,0.0544,0.0617,24.824,,,,
"CTRL(s=0.7737)|hour in [06,18] (daytime)",control,0.7737,102532,5.9,prefilter_flat,1.0,1.0,1.0,9.9275,9.9204,9.9348,10.1521,10.1214,10.218,10.365,0.076,,,,
"CTRL(s=0.7737)|hour in [06,18] (daytime)",control,0.7737,102532,5.9,postfilter_hnsw_K2x,0.9994,0.9989,0.9998,0.0449,0.0442,0.046,0.0611,0.0587,0.0623,0.0695,,,,26.0,False
"CTRL(s=0.7737)|hour in [06,18] (daytime)",control,0.7737,102532,5.9,postfilter_hnsw_K1x,0.9721,0.9677,0.9761,0.044,0.0431,0.0451,0.0594,0.0574,0.0615,0.0682,,,,13.0,False
"CTRL(s=0.7737)|hour in [06,18] (daytime)",control,0.7737,102532,5.9,postfilter_hnsw_K4x,0.9994,0.9989,0.9998,0.0482,0.0473,0.0495,0.0637,0.0626,0.0659,0.0732,,,,52.0,False
"CTRL(s=0.7737)|hour in [06,18] (daytime)",control,0.7737,102532,5.9,single_stage_ivf_batch_np8,0.996,0.9941,0.9976,0.1165,0.1155,0.118,0.1546,0.1495,0.1596,0.171,,5.86,,,
"CTRL(s=0.7737)|hour in [06,18] (daytime)",control,0.7737,102532,5.9,single_stage_ivf_batch_np32,0.9993,0.9988,0.9998,0.3633,0.3586,0.3683,0.4762,0.4645,0.4845,0.528,,5.86,,,
"CTRL(s=0.7737)|hour in [06,18] (daytime)",control,0.7737,102532,5.9,single_stage_ivf_bitmap_np32,0.9993,0.9988,0.9998,0.337,0.3325,0.3408,0.4471,0.4355,0.4589,0.5198,,48.13,,,
"hour in [11,14] (midday)",composite,0.3069,40671,80.8,postfilter_hnsw_K1x,0.4229,0.3935,0.4524,0.0441,0.0431,0.0448,0.0587,0.0571,0.0606,0.0678,,,,33.0,False
"hour in [11,14] (midday)",composite,0.3069,40671,80.8,prefilter_hnsw_ef64,0.9828,0.9769,0.9879,0.039,0.0382,0.0401,0.0563,0.054,0.0577,0.0623,7.966,,,,
"hour in [11,14] (midday)",composite,0.3069,40671,80.8,postfilter_hnsw_K4x,0.5346,0.5048,0.5659,0.0595,0.0585,0.0606,0.0767,0.0752,0.0784,0.0886,,,,132.0,False
"hour in [11,14] (midday)",composite,0.3069,40671,80.8,postfilter_hnsw_K2x,0.4802,0.4507,0.5094,0.0477,0.0468,0.0486,0.0639,0.0617,0.0657,0.073,,,,66.0,False
"hour in [11,14] (midday)",composite,0.3069,40671,80.8,prefilter_flat,1.0,1.0,1.0,3.9529,3.9452,3.9575,4.0814,4.0604,4.1152,4.2573,0.042,,,,
"hour in [11,14] (midday)",composite,0.3069,40671,80.8,single_stage_ivf_batch_np8,0.6259,0.5969,0.6554,0.0806,0.0756,0.0851,0.133,0.1275,0.1414,0.1805,,2.02,,,
"hour in [11,14] (midday)",composite,0.3069,40671,80.8,single_stage_ivf_batch_np32,0.7597,0.7349,0.7849,0.1649,0.1528,0.1778,0.358,0.3423,0.3715,0.409,,2.02,,,
"hour in [11,14] (midday)",composite,0.3069,40671,80.8,single_stage_ivf_batch_np128,0.9726,0.9654,0.9795,0.7326,0.651,0.7807,1.1364,1.0974,1.1481,1.2541,,2.02,True,,
"hour in [11,14] (midday)",composite,0.3069,40671,80.8,single_stage_ivf_bitmap_np32,0.7597,0.7346,0.7852,0.1477,0.1401,0.1582,0.3255,0.3075,0.346,0.4671,,18.73,,,
"CTRL(s=0.3069)|hour in [11,14] (midday)",control,0.3069,40671,16.2,prefilter_hnsw_ef64,0.9997,0.9993,1.0,0.0388,0.0378,0.0399,0.055,0.0524,0.0565,0.0607,8.828,,,,
"CTRL(s=0.3069)|hour in [11,14] (midday)",control,0.3069,40671,16.2,postfilter_hnsw_K4x,0.9994,0.9989,0.9998,0.0613,0.0605,0.0624,0.0789,0.0772,0.0809,0.0903,,,,132.0,False
"CTRL(s=0.3069)|hour in [11,14] (midday)",control,0.3069,40671,16.2,postfilter_hnsw_K1x,0.9113,0.9029,0.9199,0.0461,0.0451,0.0468,0.0613,0.0591,0.0647,0.0732,,,,33.0,False
"CTRL(s=0.3069)|hour in [11,14] (midday)",control,0.3069,40671,16.2,single_stage_ivf_batch_np8,0.9926,0.9902,0.9948,0.0893,0.0886,0.0899,0.1077,0.1048,0.1094,0.1145,,2.38,,,
"CTRL(s=0.3069)|hour in [11,14] (midday)",control,0.3069,40671,16.2,single_stage_ivf_batch_np32,0.9994,0.9988,0.9999,0.1927,0.1901,0.1945,0.2374,0.2334,0.2473,0.2726,,2.38,,,
"CTRL(s=0.3069)|hour in [11,14] (midday)",control,0.3069,40671,16.2,single_stage_ivf_bitmap_np32,0.9994,0.9988,0.9999,0.1718,0.1705,0.1736,0.2198,0.2098,0.2238,0.2452,,18.48,,,
"CTRL(s=0.3069)|hour in [11,14] (midday)",control,0.3069,40671,16.2,postfilter_hnsw_K2x,0.9993,0.9986,0.9998,0.0496,0.0487,0.0505,0.0655,0.0643,0.068,0.0741,,,,66.0,False
"CTRL(s=0.3069)|hour in [11,14] (midday)",control,0.3069,40671,16.2,prefilter_flat,1.0,1.0,1.0,3.9469,3.9407,3.9528,4.0844,4.0473,4.1442,4.5051,0.032,,,,
"hour in [17,19] (evening peak)",composite,0.2515,33329,123.5,postfilter_hnsw_K2x,0.4302,0.4019,0.4584,0.0496,0.0488,0.0507,0.0662,0.0638,0.068,0.0745,,,,80.0,False
"hour in [17,19] (evening peak)",composite,0.2515,33329,123.5,prefilter_flat,1.0,1.0,1.0,3.2039,3.1972,3.2087,3.3287,3.3039,3.3587,3.4037,0.025,,,,
"hour in [17,19] (evening peak)",composite,0.2515,33329,123.5,single_stage_ivf_batch_np8,0.743,0.7189,0.7663,0.073,0.0708,0.0753,0.1256,0.1218,0.1305,0.1396,,1.7,,,
"hour in [17,19] (evening peak)",composite,0.2515,33329,123.5,single_stage_ivf_batch_np32,0.9754,0.9694,0.9811,0.1244,0.1223,0.1284,0.3103,0.3029,0.3172,0.3583,,1.7,,,
"hour in [17,19] (evening peak)",composite,0.2515,33329,123.5,single_stage_ivf_bitmap_np32,0.9754,0.9694,0.981,0.1152,0.1135,0.12,0.2756,0.2612,0.2882,0.332,,14.75,,,
"hour in [17,19] (evening peak)",composite,0.2515,33329,123.5,postfilter_hnsw_K4x,0.5413,0.5137,0.5697,0.0657,0.0649,0.0669,0.0841,0.0828,0.0877,0.0953,,,,160.0,False
"hour in [17,19] (evening peak)",composite,0.2515,33329,123.5,prefilter_hnsw_ef64,0.9907,0.9868,0.994,0.0369,0.0362,0.0378,0.0519,0.0506,0.0543,0.0585,6.757,,,,
"hour in [17,19] (evening peak)",composite,0.2515,33329,123.5,postfilter_hnsw_K1x,0.3492,0.3214,0.3765,0.0452,0.0438,0.0459,0.0604,0.0586,0.062,0.0698,,,,40.0,False
"CTRL(s=0.2515)|hour in [17,19] (evening peak)",control,0.2515,33329,19.9,prefilter_flat,1.0,1.0,1.0,3.2116,3.2052,3.217,3.3333,3.3114,3.3544,3.4169,0.026,,,,
"CTRL(s=0.2515)|hour in [17,19] (evening peak)",control,0.2515,33329,19.9,postfilter_hnsw_K1x,0.9017,0.8929,0.9107,0.0465,0.0456,0.0475,0.0622,0.061,0.0643,0.0686,,,,40.0,False
"CTRL(s=0.2515)|hour in [17,19] (evening peak)",control,0.2515,33329,19.9,single_stage_ivf_batch_np8,0.9937,0.9914,0.9958,0.0838,0.0833,0.0843,0.0998,0.0991,0.1018,0.107,,2.16,,,
"CTRL(s=0.2515)|hour in [17,19] (evening peak)",control,0.2515,33329,19.9,single_stage_ivf_batch_np32,0.9999,0.9997,1.0,0.1691,0.1674,0.1711,0.2097,0.2023,0.2142,0.2599,,2.16,,,
"CTRL(s=0.2515)|hour in [17,19] (evening peak)",control,0.2515,33329,19.9,single_stage_ivf_bitmap_np32,0.9999,0.9997,1.0,0.153,0.1518,0.1545,0.1912,0.1839,0.1986,0.2266,,15.32,,,
"CTRL(s=0.2515)|hour in [17,19] (evening peak)",control,0.2515,33329,19.9,postfilter_hnsw_K2x,0.9989,0.9981,0.9996,0.0521,0.0511,0.0529,0.0691,0.0676,0.0718,0.08,,,,80.0,False
"CTRL(s=0.2515)|hour in [17,19] (evening peak)",control,0.2515,33329,19.9,postfilter_hnsw_K4x,0.9991,0.9983,0.9997,0.0666,0.0655,0.0672,0.0877,0.0831,0.0909,0.0984,,,,160.0,False
"CTRL(s=0.2515)|hour in [17,19] (evening peak)",control,0.2515,33329,19.9,prefilter_hnsw_ef64,0.9998,0.9995,1.0,0.0372,0.0365,0.0381,0.0545,0.0531,0.0556,0.0613,7.013,,,,
location in top-5,composite,0.26776,35484,830.5,prefilter_hnsw_ef64,0.9412,0.9311,0.9506,0.0423,0.0416,0.0431,0.0557,0.0544,0.0594,0.0645,6.789,,,,
location in top-5,composite,0.26776,35484,830.5,postfilter_hnsw_K4x,0.3328,0.3033,0.3615,0.0615,0.0604,0.0625,0.0799,0.0781,0.082,0.0926,,,,152.0,False
location in top-5,composite,0.26776,35484,830.5,prefilter_flat,1.0,1.0,1.0,3.4307,3.4239,3.4388,3.5684,3.552,3.6004,3.6614,0.027,,,,
location in top-5,composite,0.26776,35484,830.5,single_stage_ivf_batch_np8,0.3815,0.3533,0.4104,0.0659,0.0654,0.0667,0.1497,0.1456,0.1556,0.1888,,1.73,,,
location in top-5,composite,0.26776,35484,830.5,single_stage_ivf_batch_np32,0.6125,0.5838,0.6403,0.1023,0.0943,0.1166,0.4732,0.4487,0.5032,0.5978,,1.73,,,
location in top-5,composite,0.26776,35484,830.5,single_stage_ivf_batch_np128,0.9601,0.9508,0.9686,0.4729,0.4115,0.5212,1.1459,1.0825,1.1759,1.2424,,1.73,True,,
location in top-5,composite,0.26776,35484,830.5,single_stage_ivf_bitmap_np32,0.6125,0.5847,0.6405,0.0949,0.0886,0.1053,0.4224,0.3933,0.458,0.5249,,16.79,,,
location in top-5,composite,0.26776,35484,830.5,postfilter_hnsw_K1x,0.2989,0.2716,0.328,0.0477,0.0467,0.0487,0.0643,0.0619,0.0666,0.0727,,,,38.0,False
location in top-5,composite,0.26776,35484,830.5,postfilter_hnsw_K2x,0.3106,0.2828,0.3393,0.0517,0.0507,0.0525,0.069,0.0672,0.0714,0.0786,,,,76.0,False
