predicate,kind,selectivity,subset,gt_cluster_med_rank,method,recall_at_10,r_lo,r_hi,p50_ms,p50_lo,p50_hi,p95_ms,p95_lo,p95_hi,kprime,degenerate,build_s,selector_build_ms,escalated
sig_has_yellow==True,natural,0.62846,90392,8.1,prefilter_hnsw_ef64,0.9995,0.9985,1.0,0.0404,0.0392,0.0414,0.0607,0.0563,0.0685,,,26.442,,
sig_has_yellow==True,natural,0.62846,90392,8.1,single_stage_ivf_batch_np8,0.999,0.9975,1.0,0.1037,0.1019,0.1063,0.1356,0.1318,0.1537,,,,5.48,
sig_has_yellow==True,natural,0.62846,90392,8.1,single_stage_ivf_batch_np32,0.9995,0.9985,1.0,0.3161,0.2962,0.337,0.4631,0.4419,0.5019,,,,5.48,
sig_has_yellow==True,natural,0.62846,90392,8.1,single_stage_ivf_bitmap_np32,0.9995,0.9985,1.0,0.2982,0.2806,0.3242,0.4572,0.4363,0.4912,,,,43.74,
CTRL(s=0.6285)|sig_has_yellow==True,control,0.62846,90392,8.3,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0398,0.0381,0.0414,0.0616,0.0565,0.067,,,26.596,,
CTRL(s=0.6285)|sig_has_yellow==True,control,0.62846,90392,8.3,postfilter_hnsw_K4x,1.0,1.0,1.0,0.0469,0.0457,0.0483,0.072,0.0649,0.0785,64.0,False,,,
CTRL(s=0.6285)|sig_has_yellow==True,control,0.62846,90392,8.3,postfilter_hnsw_K1x,0.929,0.913,0.944,0.043,0.0419,0.044,0.0641,0.0611,0.0731,16.0,False,,,
CTRL(s=0.6285)|sig_has_yellow==True,control,0.62846,90392,8.3,single_stage_ivf_batch_np8,0.9975,0.9935,1.0,0.1077,0.1058,0.1095,0.1411,0.1322,0.1479,,,,5.64,
CTRL(s=0.6285)|sig_has_yellow==True,control,0.62846,90392,8.3,single_stage_ivf_batch_np32,1.0,1.0,1.0,0.3473,0.3397,0.3656,0.46,0.4394,0.5183,,,,5.64,
CTRL(s=0.6285)|sig_has_yellow==True,control,0.62846,90392,8.3,single_stage_ivf_bitmap_np32,1.0,1.0,1.0,0.3239,0.314,0.3292,0.4525,0.4176,0.4645,,,,43.49,
CTRL(s=0.6285)|sig_has_yellow==True,control,0.62846,90392,8.3,postfilter_hnsw_K2x,1.0,1.0,1.0,0.044,0.0431,0.0455,0.0656,0.0614,0.0752,32.0,False,,,
CTRL(s=0.6285)|sig_has_yellow==True,control,0.62846,90392,8.3,prefilter_flat,1.0,1.0,1.0,8.9652,8.9439,8.9727,9.3385,9.1964,9.3935,,,0.07,,
sig_has_pedestrian==True,natural,0.39096,56232,15.3,prefilter_flat,1.0,1.0,1.0,5.5119,5.4989,5.5256,5.7147,5.6703,5.7534,,,0.044,,
sig_has_pedestrian==True,natural,0.39096,56232,15.3,postfilter_hnsw_K4x,0.9625,0.942,0.9795,0.0549,0.0537,0.0573,0.0832,0.0759,0.0892,104.0,False,,,
sig_has_pedestrian==True,natural,0.39096,56232,15.3,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0411,0.04,0.0427,0.064,0.0592,0.0666,,,15.668,,
sig_has_pedestrian==True,natural,0.39096,56232,15.3,postfilter_hnsw_K1x,0.713,0.665,0.7585,0.0451,0.044,0.0462,0.071,0.0629,0.0774,26.0,False,,,
sig_has_pedestrian==True,natural,0.39096,56232,15.3,single_stage_ivf_batch_np8,0.995,0.991,0.998,0.0883,0.0862,0.0915,0.1214,0.1152,0.1365,,,,3.13,
sig_has_pedestrian==True,natural,0.39096,56232,15.3,single_stage_ivf_batch_np32,0.9985,0.996,1.0,0.2132,0.2033,0.2242,0.3398,0.3148,0.3683,,,,3.13,
sig_has_pedestrian==True,natural,0.39096,56232,15.3,single_stage_ivf_bitmap_np32,0.9985,0.996,1.0,0.191,0.1841,0.2006,0.3084,0.2859,0.3398,,,,26.38,
sig_has_pedestrian==True,natural,0.39096,56232,15.3,postfilter_hnsw_K2x,0.8855,0.8525,0.917,0.0472,0.0456,0.0486,0.0741,0.0662,0.0808,52.0,False,,,
CTRL(s=0.3910)|sig_has_pedestrian==True,control,0.39096,56232,13.1,postfilter_hnsw_K1x,0.922,0.9025,0.9395,0.0452,0.0444,0.0468,0.0683,0.0644,0.0733,26.0,False,,,
CTRL(s=0.3910)|sig_has_pedestrian==True,control,0.39096,56232,13.1,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0404,0.0393,0.0422,0.0655,0.0581,0.0682,,,16.334,,
CTRL(s=0.3910)|sig_has_pedestrian==True,control,0.39096,56232,13.1,postfilter_hnsw_K2x,0.9995,0.9985,1.0,0.0471,0.046,0.0486,0.0726,0.065,0.0784,52.0,False,,,
CTRL(s=0.3910)|sig_has_pedestrian==True,control,0.39096,56232,13.1,single_stage_ivf_batch_np8,0.9975,0.993,1.0,0.0984,0.0962,0.1003,0.1193,0.1166,0.1221,,,,3.39,
CTRL(s=0.3910)|sig_has_pedestrian==True,control,0.39096,56232,13.1,single_stage_ivf_batch_np32,0.9995,0.9985,1.0,0.2472,0.2414,0.2528,0.3308,0.3134,0.3745,,,,3.39,
CTRL(s=0.3910)|sig_has_pedestrian==True,control,0.39096,56232,13.1,single_stage_ivf_bitmap_np32,0.9995,0.9985,1.0,0.224,0.2183,0.2269,0.2955,0.281,0.3166,,,,26.48,
CTRL(s=0.3910)|sig_has_pedestrian==True,control,0.39096,56232,13.1,prefilter_flat,1.0,1.0,1.0,5.5489,5.5238,5.568,5.7492,5.7058,5.8035,,,0.043,,
CTRL(s=0.3910)|sig_has_pedestrian==True,control,0.39096,56232,13.1,postfilter_hnsw_K4x,0.9995,0.9985,1.0,0.0551,0.0544,0.0568,0.0818,0.0754,0.0904,104.0,False,,,
sig_has_yellow==False,natural,0.27117,39003,23.6,postfilter_hnsw_K1x,0.62,0.561,0.6795,0.0459,0.0443,0.0467,0.0682,0.0633,0.0766,37.0,False,,,
sig_has_yellow==False,natural,0.27117,39003,23.6,postfilter_hnsw_K4x,0.777,0.719,0.8315,0.0631,0.0615,0.0648,0.0925,0.0844,0.0964,148.0,False,,,
sig_has_yellow==False,natural,0.27117,39003,23.6,single_stage_ivf_batch_np8,0.881,0.8445,0.915,0.0796,0.0776,0.0828,0.1077,0.1061,0.1161,,,,2.15,
sig_has_yellow==False,natural,0.27117,39003,23.6,single_stage_ivf_batch_np32,0.9775,0.966,0.9875,0.1614,0.1535,0.1695,0.2686,0.255,0.3202,,,,2.15,
sig_has_yellow==False,natural,0.27117,39003,23.6,single_stage_ivf_bitmap_np32,0.9775,0.966,0.9875,0.1476,0.1399,0.1535,0.2657,0.2308,0.2895,,,,20.06,
sig_has_yellow==False,natural,0.27117,39003,23.6,prefilter_hnsw_ef64,0.9955,0.9905,0.9995,0.0436,0.0408,0.0459,0.066,0.0645,0.07,,,9.697,,
sig_has_yellow==False,natural,0.27117,39003,23.6,prefilter_flat,1.0,1.0,1.0,3.8541,3.8466,3.8628,3.9815,3.9481,4.0672,,,0.03,,
sig_has_yellow==False,natural,0.27117,39003,23.6,postfilter_hnsw_K2x,0.722,0.663,0.779,0.0489,0.0475,0.0504,0.0723,0.0677,0.0802,74.0,False,,,
CTRL(s=0.2712)|sig_has_yellow==False,control,0.27117,39003,19.9,postfilter_hnsw_K4x,0.999,0.9975,1.0,0.0631,0.0622,0.0647,0.0915,0.084,0.0966,148.0,False,,,
