predicate,kind,selectivity,subset,gt_cluster_med_rank,method,recall_at_10,r_lo,r_hi,p50_ms,p50_lo,p50_hi,p95_ms,p95_lo,p95_hi,kprime,degenerate,build_s,selector_build_ms,escalated
CTRL(s=0.0781)|hour==17,control,0.07809,11232,71.2,prefilter_flat,1.0,1.0,1.0,1.0127,1.0076,1.0216,1.1637,1.1289,1.1799,,,0.009,,
CTRL(s=0.0781)|hour==17,control,0.07809,11232,71.2,postfilter_hnsw_K1x,0.876,0.8525,0.8975,0.0597,0.0579,0.0613,0.0893,0.0799,0.0926,129.0,False,,,
CTRL(s=0.0781)|hour==17,control,0.07809,11232,71.2,postfilter_hnsw_K2x,0.9585,0.946,0.97,0.0794,0.0771,0.0815,0.1128,0.1071,0.1206,258.0,False,,,
CTRL(s=0.0781)|hour==17,control,0.07809,11232,71.2,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0401,0.0391,0.043,0.057,0.055,0.0605,,,2.211,,
hour==18,natural,0.10885,15656,715.0,prefilter_hnsw_ef64,0.9905,0.983,0.9965,0.0407,0.0392,0.0425,0.0578,0.0549,0.0602,,,3.084,,
hour==18,natural,0.10885,15656,715.0,postfilter_hnsw_K2x,0.3425,0.2765,0.4095,0.0686,0.0667,0.0703,0.0975,0.0898,0.1058,184.0,False,,,
hour==18,natural,0.10885,15656,715.0,postfilter_hnsw_K1x,0.3205,0.258,0.385,0.0519,0.0508,0.053,0.0806,0.0717,0.0882,92.0,False,,,
hour==18,natural,0.10885,15656,715.0,postfilter_hnsw_K4x,0.3775,0.3145,0.442,0.089,0.0865,0.0918,0.1276,0.1217,0.1398,368.0,False,,,
hour==18,natural,0.10885,15656,715.0,prefilter_flat,1.0,1.0,1.0,1.4831,1.4736,1.4963,1.6122,1.583,1.6523,,,0.012,,
hour==18,natural,0.10885,15656,715.0,single_stage_ivf_batch_np8,0.4055,0.3405,0.475,0.0617,0.0613,0.063,0.086,0.0838,0.0885,,,,0.86,
hour==18,natural,0.10885,15656,715.0,single_stage_ivf_batch_np32,0.6955,0.6395,0.7505,0.082,0.0796,0.0876,0.1757,0.1641,0.1918,,,,0.86,
hour==18,natural,0.10885,15656,715.0,single_stage_ivf_batch_np128,0.9835,0.975,0.9905,0.1828,0.1729,0.2016,0.5698,0.5329,0.6095,,,,0.86,True
CTRL(s=0.1089)|hour==18,control,0.10885,15656,47.6,postfilter_hnsw_K1x,0.8885,0.8665,0.909,0.0526,0.0512,0.0539,0.0771,0.0717,0.0863,92.0,False,,,
CTRL(s=0.1089)|hour==18,control,0.10885,15656,47.6,postfilter_hnsw_K4x,0.986,0.979,0.992,0.0899,0.0873,0.0931,0.1306,0.1225,0.1432,368.0,False,,,
CTRL(s=0.1089)|hour==18,control,0.10885,15656,47.6,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0431,0.0419,0.0448,0.0626,0.0591,0.0661,,,3.491,,
CTRL(s=0.1089)|hour==18,control,0.10885,15656,47.6,postfilter_hnsw_K2x,0.986,0.9795,0.992,0.0691,0.0675,0.0714,0.0994,0.0915,0.1053,184.0,False,,,
CTRL(s=0.1089)|hour==18,control,0.10885,15656,47.6,single_stage_ivf_batch_np8,0.993,0.986,0.998,0.0716,0.0713,0.0721,0.0807,0.0786,0.0834,,,,1.08,
CTRL(s=0.1089)|hour==18,control,0.10885,15656,47.6,single_stage_ivf_batch_np32,0.999,0.9975,1.0,0.1224,0.1205,0.1236,0.1449,0.1416,0.1547,,,,1.08,
CTRL(s=0.1089)|hour==18,control,0.10885,15656,47.6,prefilter_flat,1.0,1.0,1.0,1.4969,1.4888,1.5063,1.6453,1.6036,1.6788,,,0.005,,
hour==19,natural,0.11023,15854,689.5,postfilter_hnsw_K2x,0.347,0.284,0.4145,0.0659,0.065,0.0684,0.094,0.0899,0.101,182.0,False,,,
hour==19,natural,0.11023,15854,689.5,prefilter_flat,1.0,1.0,1.0,1.5229,1.5171,1.5362,1.6019,1.5909,1.6262,,,0.004,,
hour==19,natural,0.11023,15854,689.5,postfilter_hnsw_K4x,0.374,0.3115,0.4365,0.0886,0.0861,0.0923,0.1313,0.1214,0.1381,364.0,False,,,
hour==19,natural,0.11023,15854,689.5,postfilter_hnsw_K1x,0.338,0.2715,0.406,0.0513,0.0499,0.0525,0.0752,0.0709,0.0814,91.0,False,,,
hour==19,natural,0.11023,15854,689.5,prefilter_hnsw_ef64,0.9945,0.99,0.998,0.0398,0.0384,0.0424,0.0552,0.053,0.0575,,,3.048,,
hour==19,natural,0.11023,15854,689.5,single_stage_ivf_batch_np8,0.4135,0.347,0.479,0.0608,0.0602,0.0628,0.084,0.0803,0.0877,,,,0.87,
hour==19,natural,0.11023,15854,689.5,single_stage_ivf_batch_np32,0.6995,0.643,0.7535,0.0808,0.0776,0.0841,0.1623,0.1515,0.1734,,,,0.87,
hour==19,natural,0.11023,15854,689.5,single_stage_ivf_batch_np128,0.981,0.972,0.9885,0.1789,0.1701,0.198,0.5725,0.5395,0.5955,,,,0.87,True
CTRL(s=0.1102)|hour==19,control,0.11023,15854,46.2,postfilter_hnsw_K2x,0.989,0.982,0.995,0.0679,0.067,0.0703,0.0989,0.0927,0.105,182.0,False,,,
CTRL(s=0.1102)|hour==19,control,0.11023,15854,46.2,prefilter_flat,1.0,1.0,1.0,1.5371,1.5267,1.549,1.6563,1.6371,1.6768,,,0.005,,
CTRL(s=0.1102)|hour==19,control,0.11023,15854,46.2,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0417,0.0399,0.043,0.0597,0.0574,0.0618,,,3.531,,
CTRL(s=0.1102)|hour==19,control,0.11023,15854,46.2,postfilter_hnsw_K1x,0.8935,0.871,0.916,0.0524,0.0514,0.0536,0.0781,0.0718,0.0832,91.0,False,,,
CTRL(s=0.1102)|hour==19,control,0.11023,15854,46.2,single_stage_ivf_batch_np8,0.989,0.982,0.995,0.0728,0.0719,0.0735,0.0816,0.0782,0.083,,,,1.08,
CTRL(s=0.1102)|hour==19,control,0.11023,15854,46.2,single_stage_ivf_batch_np32,0.999,0.9975,1.0,0.1239,0.1221,0.1255,0.1497,0.1414,0.1569,,,,1.08,
CTRL(s=0.1102)|hour==19,control,0.11023,15854,46.2,postfilter_hnsw_K4x,0.989,0.982,0.995,0.0906,0.0877,0.0945,0.1334,0.1249,0.1421,364.0,False,,,
hour==20,natural,0.0757,10888,748.3,prefilter_hnsw_ef64,0.9955,0.9925,0.998,0.0402,0.0386,0.0418,0.0578,0.0546,0.0597,,,1.885,,
hour==20,natural,0.0757,10888,748.3,postfilter_hnsw_K2x,0.346,0.2845,0.4095,0.0802,0.0775,0.0821,0.1152,0.1074,0.1253,266.0,False,,,
hour==20,natural,0.0757,10888,748.3,postfilter_hnsw_K4x,0.3885,0.329,0.449,0.1013,0.0975,0.1044,0.153,0.145,0.1691,532.0,False,,,
hour==20,natural,0.0757,10888,748.3,prefilter_flat,1.0,1.0,1.0,0.9803,0.9743,0.9888,1.1139,1.0832,1.1356,,,0.003,,
hour==20,natural,0.0757,10888,748.3,single_stage_ivf_batch_np8,0.41,0.3445,0.4775,0.0623,0.0617,0.0635,0.0815,0.0766,0.085,,,,0.68,
hour==20,natural,0.0757,10888,748.3,single_stage_ivf_batch_np32,0.683,0.6255,0.739,0.0789,0.0769,0.0809,0.1355,0.1288,0.1406,,,,0.68,
hour==20,natural,0.0757,10888,748.3,single_stage_ivf_batch_np128,0.9615,0.9455,0.976,0.1596,0.1503,0.1708,0.3842,0.3654,0.4029,,,,0.68,True
hour==20,natural,0.0757,10888,748.3,postfilter_hnsw_K1x,0.324,0.2595,0.3905,0.0596,0.0581,0.0608,0.0863,0.0793,0.0929,133.0,False,,,
CTRL(s=0.0757)|hour==20,control,0.0757,10888,70.4,postfilter_hnsw_K4x,0.9625,0.9515,0.9725,0.0988,0.0952,0.1025,0.1537,0.1392,0.1626,532.0,False,,,
CTRL(s=0.0757)|hour==20,control,0.0757,10888,70.4,postfilter_hnsw_K2x,0.9625,0.9515,0.9725,0.0795,0.0771,0.0818,0.1126,0.1059,0.122,266.0,False,,,
CTRL(s=0.0757)|hour==20,control,0.0757,10888,70.4,postfilter_hnsw_K1x,0.888,0.866,0.909,0.061,0.0594,0.0624,0.088,0.0812,0.0957,133.0,False,,,
CTRL(s=0.0757)|hour==20,control,0.0757,10888,70.4,prefilter_flat,1.0,1.0,1.0,0.982,0.9755,0.9947,1.0919,1.0702,1.1189,,,0.009,,
CTRL(s=0.0757)|hour==20,control,0.0757,10888,70.4,single_stage_ivf_batch_np8,0.988,0.9805,0.9945,0.0687,0.0681,0.0691,0.078,0.0754,0.0807,,,,0.87,
CTRL(s=0.0757)|hour==20,control,0.0757,10888,70.4,single_stage_ivf_batch_np32,0.9975,0.9945,0.9995,0.1063,0.1049,0.1073,0.1207,0.1174,0.1281,,,,0.87,
CTRL(s=0.0757)|hour==20,control,0.0757,10888,70.4,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0411,0.0398,0.0421,0.0572,0.0547,0.0585,,,2.134,,
"hour in [11,14] (midday)",composite,0.13754,19782,95.5,prefilter_hnsw_ef64,0.9975,0.995,0.9995,0.041,0.0391,0.0428,0.0624,0.0571,0.0673,,,4.313,,
"hour in [11,14] (midday)",composite,0.13754,19782,95.5,single_stage_ivf_batch_np8,0.7175,0.657,0.7785,0.0731,0.0715,0.0748,0.0863,0.0837,0.0892,,,,1.01,
"hour in [11,14] (midday)",composite,0.13754,19782,95.5,single_stage_ivf_batch_np32,0.8325,0.7835,0.878,0.1263,0.1219,0.1321,0.1617,0.1565,0.1733,,,,1.01,
"hour in [11,14] (midday)",composite,0.13754,19782,95.5,single_stage_ivf_batch_np128,0.983,0.9675,0.995,0.3957,0.3708,0.4204,0.5747,0.5334,0.5877,,,,1.01,True
"hour in [11,14] (midday)",composite,0.13754,19782,95.5,postfilter_hnsw_K1x,0.456,0.392,0.52,0.0491,0.0474,0.0501,0.0736,0.068,0.0801,73.0,False,,,
"hour in [11,14] (midday)",composite,0.13754,19782,95.5,prefilter_flat,1.0,1.0,1.0,1.9059,1.8982,1.9167,2.0078,1.9923,2.0468,,,0.015,,
"hour in [11,14] (midday)",composite,0.13754,19782,95.5,postfilter_hnsw_K4x,0.637,0.573,0.6975,0.0843,0.0811,0.0862,0.1188,0.1139,0.1268,292.0,False,,,
"hour in [11,14] (midday)",composite,0.13754,19782,95.5,postfilter_hnsw_K2x,0.583,0.5175,0.649,0.0624,0.0606,0.0633,0.0901,0.0841,0.0983,146.0,False,,,
"CTRL(s=0.1375)|hour in [11,14] (midday)",control,0.13754,19782,38.8,postfilter_hnsw_K2x,0.9945,0.9905,0.9975,0.0627,0.0615,0.0641,0.0883,0.0847,0.0958,146.0,False,,,
"CTRL(s=0.1375)|hour in [11,14] (midday)",control,0.13754,19782,38.8,postfilter_hnsw_K4x,0.9945,0.991,0.9975,0.0844,0.0813,0.0869,0.1182,0.112,0.1277,292.0,False,,,
"CTRL(s=0.1375)|hour in [11,14] (midday)",control,0.13754,19782,38.8,prefilter_hnsw_ef64,1.0,1.0,1.0,0.042,0.04,0.0446,0.0634,0.0593,0.0688,,,4.78,,
"CTRL(s=0.1375)|hour in [11,14] (midday)",control,0.13754,19782,38.8,postfilter_hnsw_K1x,0.8725,0.8475,0.896,0.0498,0.0481,0.0512,0.0748,0.0681,0.083,73.0,False,,,
"CTRL(s=0.1375)|hour in [11,14] (midday)",control,0.13754,19782,38.8,single_stage_ivf_batch_np8,0.9895,0.981,0.996,0.075,0.0739,0.0761,0.0876,0.0857,0.0906,,,,1.26,
"CTRL(s=0.1375)|hour in [11,14] (midday)",control,0.13754,19782,38.8,single_stage_ivf_batch_np32,0.9985,0.9955,1.0,0.1354,0.1336,0.137,0.1599,0.1552,0.1643,,,,1.26,
"CTRL(s=0.1375)|hour in [11,14] (midday)",control,0.13754,19782,38.8,prefilter_flat,1.0,1.0,1.0,1.9122,1.9011,1.9231,2.0345,1.9929,2.0694,,,0.016,,
"hour in [8,18] (working)",composite,0.57356,82495,8.6,postfilter_hnsw_K1x,0.719,0.6685,0.769,0.0424,0.0418,0.0437,0.0644,0.0602,0.0716,18.0,False,,,
"hour in [8,18] (working)",composite,0.57356,82495,8.6,single_stage_ivf_batch_np8,0.999,0.997,1.0,0.0988,0.0963,0.1043,0.1304,0.124,0.142,,,,3.71,
"hour in [8,18] (working)",composite,0.57356,82495,8.6,single_stage_ivf_batch_np32,1.0,1.0,1.0,0.3,0.2815,0.3146,0.4136,0.3951,0.4205,,,,3.71,
"hour in [8,18] (working)",composite,0.57356,82495,8.6,single_stage_ivf_bitmap_np32,1.0,1.0,1.0,0.2721,0.2578,0.2863,0.376,0.3527,0.4161,,,,38.23,
"hour in [8,18] (working)",composite,0.57356,82495,8.6,postfilter_hnsw_K2x,0.8825,0.8465,0.916,0.0439,0.043,0.0454,0.0677,0.0618,0.0742,36.0,False,,,
"hour in [8,18] (working)",composite,0.57356,82495,8.6,prefilter_flat,1.0,1.0,1.0,8.0631,8.0496,8.0748,8.287,8.2438,8.3563,,,0.062,,
"hour in [8,18] (working)",composite,0.57356,82495,8.6,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0408,0.0396,0.0422,0.0645,0.061,0.0672,,,23.845,,
"hour in [8,18] (working)",composite,0.57356,82495,8.6,postfilter_hnsw_K4x,0.974,0.956,0.989,0.0498,0.0484,0.0508,0.0753,0.0698,0.0837,72.0,False,,,
"CTRL(s=0.5736)|hour in [8,18] (working)",control,0.57356,82495,9.0,postfilter_hnsw_K1x,0.942,0.9255,0.958,0.044,0.0427,0.0452,0.0652,0.0629,0.0733,18.0,False,,,
"CTRL(s=0.5736)|hour in [8,18] (working)",control,0.57356,82495,9.0,prefilter_flat,1.0,1.0,1.0,8.0941,8.0833,8.1146,8.3943,8.3367,8.4554,,,0.064,,
"CTRL(s=0.5736)|hour in [8,18] (working)",control,0.57356,82495,9.0,postfilter_hnsw_K4x,1.0,1.0,1.0,0.0493,0.0481,0.051,0.0746,0.068,0.0817,72.0,False,,,
"CTRL(s=0.5736)|hour in [8,18] (working)",control,0.57356,82495,9.0,postfilter_hnsw_K2x,1.0,1.0,1.0,0.0463,0.0453,0.048,0.0717,0.0651,0.0789,36.0,False,,,
"CTRL(s=0.5736)|hour in [8,18] (working)",control,0.57356,82495,9.0,single_stage_ivf_batch_np8,0.9985,0.996,1.0,0.1092,0.1072,0.1128,0.1414,0.1368,0.1468,,,,4.35,
"CTRL(s=0.5736)|hour in [8,18] (working)",control,0.57356,82495,9.0,single_stage_ivf_batch_np32,1.0,1.0,1.0,0.3431,0.3315,0.3525,0.4596,0.4314,0.4994,,,,4.35,
"CTRL(s=0.5736)|hour in [8,18] (working)",control,0.57356,82495,9.0,single_stage_ivf_bitmap_np32,1.0,1.0,1.0,0.3058,0.2998,0.3132,0.4239,0.3967,0.4439,,,,38.87,
"CTRL(s=0.5736)|hour in [8,18] (working)",control,0.57356,82495,9.0,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0396,0.0378,0.0411,0.0627,0.0571,0.0673,,,24.297,,
"time_of_day in {morning,evening}",composite,0.55202,79397,8.2,postfilter_hnsw_K4x,0.8975,0.8615,0.931,0.049,0.0477,0.0502,0.0744,0.0674,0.083,76.0,False,,,
"time_of_day in {morning,evening}",composite,0.55202,79397,8.2,postfilter_hnsw_K2x,0.777,0.724,0.827,0.0447,0.0437,0.0459,0.068,0.0623,0.0755,38.0,False,,,
"time_of_day in {morning,evening}",composite,0.55202,79397,8.2,postfilter_hnsw_K1x,0.6675,0.609,0.7265,0.0432,0.0419,0.044,0.0653,0.0609,0.0747,19.0,False,,,
"time_of_day in {morning,evening}",composite,0.55202,79397,8.2,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0403,0.039,0.0422,0.0616,0.0563,0.0659,,,21.879,,
"time_of_day in {morning,evening}",composite,0.55202,79397,8.2,single_stage_ivf_batch_np8,0.999,0.9975,1.0,0.0966,0.0921,0.0996,0.1409,0.1282,0.1464,,,,3.65,
"time_of_day in {morning,evening}",composite,0.55202,79397,8.2,single_stage_ivf_batch_np32,1.0,1.0,1.0,0.2242,0.2103,0.2354,0.4836,0.4533,0.5039,,,,3.65,
"time_of_day in {morning,evening}",composite,0.55202,79397,8.2,single_stage_ivf_bitmap_np32,1.0,1.0,1.0,0.2076,0.1951,0.2226,0.4187,0.3968,0.4388,,,,36.59,
"time_of_day in {morning,evening}",composite,0.55202,79397,8.2,prefilter_flat,1.0,1.0,1.0,7.7387,7.7279,7.7518,8.0011,7.9514,8.1206,,,0.06,,
"CTRL(s=0.5520)|time_of_day in {morning,evening}",control,0.55202,79397,9.6,prefilter_flat,1.0,1.0,1.0,7.7373,7.7261,7.7503,7.9783,7.9014,8.1114,,,0.061,,
"CTRL(s=0.5520)|time_of_day in {morning,evening}",control,0.55202,79397,9.6,postfilter_hnsw_K4x,1.0,1.0,1.0,0.05,0.0485,0.0513,0.0734,0.0693,0.0833,76.0,False,,,
"CTRL(s=0.5520)|time_of_day in {morning,evening}",control,0.55202,79397,9.6,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0414,0.0404,0.0424,0.0679,0.0587,0.07,,,23.231,,
"CTRL(s=0.5520)|time_of_day in {morning,evening}",control,0.55202,79397,9.6,single_stage_ivf_batch_np8,0.9985,0.996,1.0,0.1066,0.1048,0.1091,0.1381,0.1302,0.1435,,,,4.23,
"CTRL(s=0.5520)|time_of_day in {morning,evening}",control,0.55202,79397,9.6,single_stage_ivf_batch_np32,1.0,1.0,1.0,0.3315,0.3198,0.3401,0.4435,0.4238,0.4716,,,,4.23,
"CTRL(s=0.5520)|time_of_day in {morning,evening}",control,0.55202,79397,9.6,single_stage_ivf_bitmap_np32,1.0,1.0,1.0,0.2947,0.2881,0.306,0.409,0.3713,0.4288,,,,37.07,
"CTRL(s=0.5520)|time_of_day in {morning,evening}",control,0.55202,79397,9.6,postfilter_hnsw_K2x,1.0,1.0,1.0,0.0452,0.0444,0.0466,0.0681,0.0634,0.0779,38.0,False,,,
"CTRL(s=0.5520)|time_of_day in {morning,evening}",control,0.55202,79397,9.6,postfilter_hnsw_K1x,0.9245,0.907,0.9425,0.0444,0.0429,0.0457,0.0657,0.0627,0.0761,19.0,False,,,
