dataset,clip_id,arm,bytes
VRU,vru_accident:CAP_DATA:VRU_12,center_frame_stack,24316
VRU,vru_accident:CAP_DATA:VRU_12,visual_4frame_stack,93471
VRU,vru_accident:CAP_DATA:VRU_12,fusion_stack,98518
VRU,vru_accident:CAP_DATA:VRU_120,raw_video,3863993
VRU,vru_accident:CAP_DATA:VRU_120,caption_stack,4947
VRU,vru_accident:CAP_DATA:VRU_120,center_frame_stack,46572
VRU,vru_accident:CAP_DATA:VRU_120,visual_4frame_stack,185634
VRU,vru_accident:CAP_DATA:VRU_120,fusion_stack,190581
VRU,vru_accident:CAP_DATA:VRU_121,raw_video,3560327
VRU,vru_accident:CAP_DATA:VRU_121,caption_stack,5215
VRU,vru_accident:CAP_DATA:VRU_121,center_frame_stack,52539
VRU,vru_accident:CAP_DATA:VRU_121,visual_4frame_stack,214179
VRU,vru_accident:CAP_DATA:VRU_121,fusion_stack,219394
VRU,vru_accident:CAP_DATA:VRU_122,raw_video,5331546
VRU,vru_accident:CAP_DATA:VRU_122,caption_stack,5004
VRU,vru_accident:CAP_DATA:VRU_122,center_frame_stack,41474
VRU,vru_accident:CAP_DATA:VRU_122,visual_4frame_stack,157784
VRU,vru_accident:CAP_DATA:VRU_122,fusion_stack,162788
VRU,vru_accident:CAP_DATA:VRU_123,raw_video,4394812
VRU,vru_accident:CAP_DATA:VRU_123,caption_stack,4855
VRU,vru_accident:CAP_DATA:VRU_123,center_frame_stack,44006
VRU,vru_accident:CAP_DATA:VRU_123,visual_4frame_stack,183626
VRU,vru_accident:CAP_DATA:VRU_123,fusion_stack,188481
VRU,vru_accident:CAP_DATA:VRU_124,raw_video,5544678
VRU,vru_accident:CAP_DATA:VRU_124,caption_stack,4811
VRU,vru_accident:CAP_DATA:VRU_124,center_frame_stack,41188
VRU,vru_accident:CAP_DATA:VRU_124,visual_4frame_stack,176950
VRU,vru_accident:CAP_DATA:VRU_124,fusion_stack,181761
VRU,vru_accident:CAP_DATA:VRU_125,raw_video,6916272
VRU,vru_accident:CAP_DATA:VRU_125,caption_stack,4730
VRU,vru_accident:CAP_DATA:VRU_125,center_frame_stack,45827
VRU,vru_accident:CAP_DATA:VRU_125,visual_4frame_stack,169452
VRU,vru_accident:CAP_DATA:VRU_125,fusion_stack,174182
VRU,vru_accident:CAP_DATA:VRU_126,raw_video,3302116
VRU,vru_accident:CAP_DATA:VRU_126,caption_stack,5200
VRU,vru_accident:CAP_DATA:VRU_126,center_frame_stack,38049
VRU,vru_accident:CAP_DATA:VRU_126,visual_4frame_stack,158252
VRU,vru_accident:CAP_DATA:VRU_126,fusion_stack,163452
VRU,vru_accident:CAP_DATA:VRU_127,raw_video,2764860
VRU,vru_accident:CAP_DATA:VRU_127,caption_stack,5017
VRU,vru_accident:CAP_DATA:VRU_127,center_frame_stack,39448
VRU,vru_accident:CAP_DATA:VRU_127,visual_4frame_stack,153882
VRU,vru_accident:CAP_DATA:VRU_127,fusion_stack,158899
VRU,vru_accident:CAP_DATA:VRU_128,raw_video,1631194
VRU,vru_accident:CAP_DATA:VRU_128,caption_stack,4965
VRU,vru_accident:CAP_DATA:VRU_128,center_frame_stack,28106
VRU,vru_accident:CAP_DATA:VRU_128,visual_4frame_stack,108213
VRU,vru_accident:CAP_DATA:VRU_128,fusion_stack,113178
VRU,vru_accident:CAP_DATA:VRU_129,raw_video,4562722
VRU,vru_accident:CAP_DATA:VRU_129,caption_stack,5195
VRU,vru_accident:CAP_DATA:VRU_129,center_frame_stack,37693
VRU,vru_accident:CAP_DATA:VRU_129,visual_4frame_stack,164475
VRU,vru_accident:CAP_DATA:VRU_129,fusion_stack,169670
VRU,vru_accident:CAP_DATA:VRU_13,raw_video,1976343
VRU,vru_accident:CAP_DATA:VRU_13,caption_stack,5064
VRU,vru_accident:CAP_DATA:VRU_13,center_frame_stack,23593
VRU,vru_accident:CAP_DATA:VRU_13,visual_4frame_stack,103146
VRU,vru_accident:CAP_DATA:VRU_13,fusion_stack,108210
VRU,vru_accident:CAP_DATA:VRU_130,raw_video,3923581
VRU,vru_accident:CAP_DATA:VRU_130,caption_stack,4938
VRU,vru_accident:CAP_DATA:VRU_130,center_frame_stack,45896
VRU,vru_accident:CAP_DATA:VRU_130,visual_4frame_stack,185883
VRU,vru_accident:CAP_DATA:VRU_130,fusion_stack,190821
VRU,vru_accident:CAP_DATA:VRU_131,raw_video,2218077
VRU,vru_accident:CAP_DATA:VRU_131,caption_stack,5065
VRU,vru_accident:CAP_DATA:VRU_131,center_frame_stack,39886
VRU,vru_accident:CAP_DATA:VRU_131,visual_4frame_stack,159222
VRU,vru_accident:CAP_DATA:VRU_131,fusion_stack,164287
VRU,vru_accident:CAP_DATA:VRU_132,raw_video,7123077
VRU,vru_accident:CAP_DATA:VRU_132,caption_stack,4909
VRU,vru_accident:CAP_DATA:VRU_132,center_frame_stack,57258
VRU,vru_accident:CAP_DATA:VRU_132,visual_4frame_stack,215743
VRU,vru_accident:CAP_DATA:VRU_132,fusion_stack,220652
VRU,vru_accident:CAP_DATA:VRU_133,raw_video,2814731
VRU,vru_accident:CAP_DATA:VRU_133,caption_stack,4927
VRU,vru_accident:CAP_DATA:VRU_133,center_frame_stack,37915
VRU,vru_accident:CAP_DATA:VRU_133,visual_4frame_stack,153090
VRU,vru_accident:CAP_DATA:VRU_133,fusion_stack,158017
VRU,vru_accident:CAP_DATA:VRU_134,raw_video,10898958
VRU,vru_accident:CAP_DATA:VRU_134,caption_stack,5327
VRU,vru_accident:CAP_DATA:VRU_134,center_frame_stack,49552
VRU,vru_accident:CAP_DATA:VRU_134,visual_4frame_stack,195582
VRU,vru_accident:CAP_DATA:VRU_134,fusion_stack,200909
VRU,vru_accident:CAP_DATA:VRU_135,raw_video,6823908
VRU,vru_accident:CAP_DATA:VRU_135,caption_stack,5071
VRU,vru_accident:CAP_DATA:VRU_135,center_frame_stack,36814
VRU,vru_accident:CAP_DATA:VRU_135,visual_4frame_stack,161247
VRU,vru_accident:CAP_DATA:VRU_135,fusion_stack,166318
VRU,vru_accident:CAP_DATA:VRU_136,raw_video,2522976
VRU,vru_accident:CAP_DATA:VRU_136,caption_stack,4834
VRU,vru_accident:CAP_DATA:VRU_136,center_frame_stack,35623
VRU,vru_accident:CAP_DATA:VRU_136,visual_4frame_stack,142247
VRU,vru_accident:CAP_DATA:VRU_136,fusion_stack,147081
VRU,vru_accident:CAP_DATA:VRU_137,raw_video,1917982
VRU,vru_accident:CAP_DATA:VRU_137,caption_stack,4997
VRU,vru_accident:CAP_DATA:VRU_137,center_frame_stack,35785
VRU,vru_accident:CAP_DATA:VRU_137,visual_4frame_stack,143429
VRU,vru_accident:CAP_DATA:VRU_137,fusion_stack,148426
VRU,vru_accident:CAP_DATA:VRU_138,raw_video,1266695
VRU,vru_accident:CAP_DATA:VRU_138,caption_stack,5130
VRU,vru_accident:CAP_DATA:VRU_138,center_frame_stack,40937
VRU,vru_accident:CAP_DATA:VRU_138,visual_4frame_stack,162115
VRU,vru_accident:CAP_DATA:VRU_138,fusion_stack,167245
VRU,vru_accident:CAP_DATA:VRU_139,raw_video,4201105
VRU,vru_accident:CAP_DATA:VRU_139,caption_stack,5095
VRU,vru_accident:CAP_DATA:VRU_139,center_frame_stack,40401
VRU,vru_accident:CAP_DATA:VRU_139,visual_4frame_stack,157601
VRU,vru_accident:CAP_DATA:VRU_139,fusion_stack,162696
VRU,vru_accident:CAP_DATA:VRU_14,raw_video,1505239
VRU,vru_accident:CAP_DATA:VRU_14,caption_stack,5106
VRU,vru_accident:CAP_DATA:VRU_14,center_frame_stack,27866
VRU,vru_accident:CAP_DATA:VRU_14,visual_4frame_stack,113150
VRU,vru_accident:CAP_DATA:VRU_14,fusion_stack,118256
VRU,vru_accident:CAP_DATA:VRU_140,raw_video,6003914
VRU,vru_accident:CAP_DATA:VRU_140,caption_stack,5039
VRU,vru_accident:CAP_DATA:VRU_140,center_frame_stack,47702
VRU,vru_accident:CAP_DATA:VRU_140,visual_4frame_stack,192013
VRU,vru_accident:CAP_DATA:VRU_140,fusion_stack,197052
VRU,vru_accident:CAP_DATA:VRU_141,raw_video,6462659
VRU,vru_accident:CAP_DATA:VRU_141,caption_stack,4918
VRU,vru_accident:CAP_DATA:VRU_141,center_frame_stack,49156
VRU,vru_accident:CAP_DATA:VRU_141,visual_4frame_stack,198734
VRU,vru_accident:CAP_DATA:VRU_141,fusion_stack,203652
VRU,vru_accident:CAP_DATA:VRU_142,raw_video,4477243
VRU,vru_accident:CAP_DATA:VRU_142,caption_stack,4867
VRU,vru_accident:CAP_DATA:VRU_142,center_frame_stack,37079
VRU,vru_accident:CAP_DATA:VRU_142,visual_4frame_stack,155572
VRU,vru_accident:CAP_DATA:VRU_142,fusion_stack,160439
VRU,vru_accident:CAP_DATA:VRU_143,raw_video,4169450
VRU,vru_accident:CAP_DATA:VRU_143,caption_stack,5013
VRU,vru_accident:CAP_DATA:VRU_143,center_frame_stack,33209
VRU,vru_accident:CAP_DATA:VRU_143,visual_4frame_stack,140951
VRU,vru_accident:CAP_DATA:VRU_143,fusion_stack,145964
VRU,vru_accident:CAP_DATA:VRU_144,raw_video,3999838
VRU,vru_accident:CAP_DATA:VRU_144,caption_stack,4882
VRU,vru_accident:CAP_DATA:VRU_144,center_frame_stack,33598
VRU,vru_accident:CAP_DATA:VRU_144,visual_4frame_stack,144411
VRU,vru_accident:CAP_DATA:VRU_144,fusion_stack,149293
VRU,vru_accident:CAP_DATA:VRU_145,raw_video,2525503
VRU,vru_accident:CAP_DATA:VRU_145,caption_stack,4889
VRU,vru_accident:CAP_DATA:VRU_145,center_frame_stack,38856
VRU,vru_accident:CAP_DATA:VRU_145,visual_4frame_stack,152900
VRU,vru_accident:CAP_DATA:VRU_145,fusion_stack,157789
VRU,vru_accident:CAP_DATA:VRU_146,raw_video,4725288
VRU,vru_accident:CAP_DATA:VRU_146,caption_stack,5162
VRU,vru_accident:CAP_DATA:VRU_146,center_frame_stack,49835
VRU,vru_accident:CAP_DATA:VRU_146,visual_4frame_stack,198753
VRU,vru_accident:CAP_DATA:VRU_146,fusion_stack,203915
VRU,vru_accident:CAP_DATA:VRU_147,raw_video,8641257
VRU,vru_accident:CAP_DATA:VRU_147,caption_stack,5158
VRU,vru_accident:CAP_DATA:VRU_147,center_frame_stack,45064
VRU,vru_accident:CAP_DATA:VRU_147,visual_4frame_stack,181806
VRU,vru_accident:CAP_DATA:VRU_147,fusion_stack,186964
VRU,vru_accident:CAP_DATA:VRU_148,raw_video,2156307
VRU,vru_accident:CAP_DATA:VRU_148,caption_stack,5027
VRU,vru_accident:CAP_DATA:VRU_148,center_frame_stack,30597
VRU,vru_accident:CAP_DATA:VRU_148,visual_4frame_stack,133033
VRU,vru_accident:CAP_DATA:VRU_148,fusion_stack,138060
VRU,vru_accident:CAP_DATA:VRU_149,raw_video,2142761
VRU,vru_accident:CAP_DATA:VRU_149,caption_stack,5104
VRU,vru_accident:CAP_DATA:VRU_149,center_frame_stack,27852
VRU,vru_accident:CAP_DATA:VRU_149,visual_4frame_stack,113800
VRU,vru_accident:CAP_DATA:VRU_149,fusion_stack,118904
VRU,vru_accident:CAP_DATA:VRU_15,raw_video,2264039
VRU,vru_accident:CAP_DATA:VRU_15,caption_stack,5281
VRU,vru_accident:CAP_DATA:VRU_15,center_frame_stack,29692
VRU,vru_accident:CAP_DATA:VRU_15,visual_4frame_stack,110769
VRU,vru_accident:CAP_DATA:VRU_15,fusion_stack,116050
VRU,vru_accident:CAP_DATA:VRU_150,raw_video,1981856
VRU,vru_accident:CAP_DATA:VRU_150,caption_stack,4860
VRU,vru_accident:CAP_DATA:VRU_150,center_frame_stack,32944
VRU,vru_accident:CAP_DATA:VRU_150,visual_4frame_stack,131604
VRU,vru_accident:CAP_DATA:VRU_150,fusion_stack,136464
VRU,vru_accident:CAP_DATA:VRU_151,raw_video,1783467
VRU,vru_accident:CAP_DATA:VRU_151,caption_stack,5148
VRU,vru_accident:CAP_DATA:VRU_151,center_frame_stack,35466
VRU,vru_accident:CAP_DATA:VRU_151,visual_4frame_stack,141616
VRU,vru_accident:CAP_DATA:VRU_151,fusion_stack,146764
VRU,vru_accident:CAP_DATA:VRU_152,raw_video,1731521
VRU,vru_accident:CAP_DATA:VRU_152,caption_stack,5204
VRU,vru_accident:CAP_DATA:VRU_152,center_frame_stack,29985
VRU,vru_accident:CAP_DATA:VRU_152,visual_4frame_stack,110077
