strategy,query_id,recall_at_1,hit_at_1,recall_at_5,hit_at_5,recall_at_10,hit_at_10,recall_at_20,hit_at_20,mrr,ndcg_at_10
B5_hybrid,acctv2:night:0017,0.0,0.0,0.0,0.0,0.07407407407407407,1.0,0.07407407407407407,1.0,0.16666666666666666,0.14465249243306436
B5_hybrid,acctv2:night:0018,0.0,0.0,0.1111111111111111,1.0,0.2962962962962963,1.0,0.3333333333333333,1.0,0.5,0.685119869332369
B5_hybrid,acctv2:nofilter:0001,0.015873015873015872,1.0,0.07936507936507936,1.0,0.15873015873015872,1.0,0.30158730158730157,1.0,1.0,1.0
B5_hybrid,acctv2:nofilter:0004,0.0,0.0,0.0,0.0,0.018867924528301886,1.0,0.09433962264150944,1.0,0.1111111111111111,0.06625422345438903
B5_hybrid,acctv2:nofilter:0009,0.0,0.0,0.02,1.0,0.06,1.0,0.14,1.0,0.25,0.23177307466786254
B5_hybrid,acctv2:nofilter:0011,0.025,1.0,0.1,1.0,0.15,1.0,0.25,1.0,1.0,0.652088188635919
B5_hybrid,acctv2:nofilter:0014,0.0,0.0,0.027777777777777776,1.0,0.1111111111111111,1.0,0.25,1.0,0.2,0.29155904987671005
B5_hybrid,acctv2:nofilter:0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
B5_hybrid,acctv2:place_type:0007,0.018867924528301886,1.0,0.09433962264150944,1.0,0.18867924528301888,1.0,0.37735849056603776,1.0,1.0,1.0
B5_hybrid,acctv2:place_type:0008,0.018867924528301886,1.0,0.09433962264150944,1.0,0.18867924528301888,1.0,0.18867924528301888,1.0,1.0,1.0
