strategy,difficulty,queries,recall_at_1,hit_at_1,recall_at_5,hit_at_5,recall_at_10,hit_at_10,recall_at_20,hit_at_20,mrr,ndcg_at_10
B4_prefilter_vector,weather_light,25,0.028727813696494485,0.4,0.10577342353443513,0.68,0.191973264555863,0.76,0.28307189583697434,0.84,0.5177245263696877,0.3483209527047101
B5_hybrid,weather_light,25,0.027437491115849325,0.36,0.09314193176163098,0.6,0.15053403305531685,0.64,0.2670296839612304,0.76,0.4756715651112935,0.30963246928807164
B0_metadata_only,road_type,25,0.00638059558851638,0.12,0.03958226988607201,0.28,0.06662053664424013,0.32,0.1296498103772571,0.44,0.20300307697519732,0.1527927840261431
B1_bm25_only,road_type,25,0.0011428571428571427,0.04,0.007005841741901221,0.12,0.033608873179352794,0.28,0.0705096447759359,0.64,0.13411820467423305,0.054125030724064986
B2_vector_only,road_type,25,0.016861301118402238,0.2,0.04134547859574031,0.44,0.06456179653443893,0.6,0.11776235871448289,0.72,0.32665714568655746,0.14295228618568892
B3_vector_postfilter,road_type,25,0.034372637365797966,0.4,0.08918593137333396,0.64,0.1709606673846529,0.84,0.25442451399258564,0.92,0.5297410417936734,0.3226156027049629
B4_prefilter_vector,road_type,25,0.034372637365797966,0.4,0.08918593137333396,0.64,0.2052463816703672,0.84,0.305853085421157,0.92,0.5297410417936734,0.34313563320532536
B5_hybrid,road_type,25,0.02024658250368362,0.32,0.08973598818049189,0.64,0.16527406417016863,0.64,0.2752332357191632,0.88,0.46370679320679314,0.3096991205017871
B0_metadata_only,location,20,0.010216346153846154,0.15,0.04741071428571429,0.25,0.06550595238095239,0.25,0.092701153013653,0.3,0.19627450980392155,0.13755458364887024
B1_bm25_only,location,20,0.003768155520491969,0.15,0.01141029341825579,0.4,0.013870229315691684,0.45,0.051425528378000095,0.5,0.2689192586981241,0.08442646957231584
B2_vector_only,location,20,0.021343700159489633,0.2,0.055354133999301246,0.55,0.08439121267730465,0.7,0.14666834077956803,0.8,0.3549881806789701,0.19598637754338408
B3_vector_postfilter,location,20,0.02967703349282297,0.25,0.09353054092570816,0.65,0.1541893312254232,0.8,0.26118345286046957,0.9,0.4367830086580087,0.28383431609772936
B4_prefilter_vector,location,20,0.02967703349282297,0.25,0.11853054092570817,0.65,0.18752266455875655,0.8,0.2945167861938029,0.9,0.4367830086580087,0.309158152113842
B5_hybrid,location,20,0.012446456386292834,0.2,0.09053668304559845,0.6,0.153473928872816,0.7,0.28708267624939415,0.85,0.38298569074133976,0.2634487054840736
B0_metadata_only,all,85,0.007274487332873363,0.1411764705882353,0.041743995170606674,0.27058823529411763,0.06069859582476919,0.3176470588235294,0.1080833979568312,0.38823529411764707,0.2009796859195829,0.14491820799403451
B1_bm25_only,all,85,0.0033185096415845523,0.11764705882352941,0.015571023026215144,0.3058823529411765,0.038771584787804125,0.43529411764705883,0.07417290905729056,0.5764705882352941,0.23133418331133682,0.09184766398090788
B2_vector_only,all,85,0.01917758427794864,0.25882352941176473,0.0514107733693286,0.49411764705882355,0.07760756517338652,0.6235294117647059,0.1322627604519565,0.7294117647058823,0.37414771330709584,0.1844741709330231
B3_vector_postfilter,all,85,0.0281269968997317,0.35294117647058826,0.08849516108332386,0.6235294117647059,0.15178772164807633,0.7529411764705882,0.23846350397114144,0.8470588235294118,0.4832447887790457,0.3019753078764535
B4_prefilter_vector,all,85,0.0281269968997317,0.35294117647058826,0.09437751402450033,0.6235294117647059,0.17559724545760014,0.7529411764705882,0.267315044587388,0.8470588235294118,0.4832447887790457,0.3173505759977536
B5_hybrid,all,85,0.017320952567225652,0.25882352941176473,0.0817857542056215,0.5882352941176471,0.14212576079165767,0.6470588235294118,0.24830803594390444,0.788235294117647,0.40759287325230664,0.2771044973651527
