family,scoring,candidate,baseline,queries,clusters,mean_delta,query_ci_lo,query_ci_hi,cluster_ci_lo,cluster_ci_hi,p_query,p_cluster,wins,ties,losses,q_query_bh,q_cluster_bh
index,semantic,caption__B4_prefilter__ivfflat_np8,caption__B4_prefilter__flat,85,25,0.002933058304937844,-0.014193349060837539,0.01824848373295412,-0.016757741375302657,0.01916422333825983,0.696,0.6916,33,37,15,0.852744827586207,0.8326857142857143
index,strict,caption__B5_lexical_vector_hybrid__ivfflat_np8,caption__B5_lexical_vector_hybrid__flat,85,25,0.012677494829806124,-0.007672163822646473,0.03258687325887436,-0.001833977566076405,0.027578106292999702,0.2162,0.0864,38,29,18,0.46122666666666673,0.25134545454545454
index,semantic,caption__B5_lexical_vector_hybrid__ivfflat_np8,caption__B5_lexical_vector_hybrid__flat,85,25,0.012916749447481153,-0.007309731007401322,0.03280268852337676,-0.001441238126213353,0.027546869435872683,0.2066,0.0794,38,29,18,0.3814153846153846,0.2530909090909091
index,strict,representative_frame__B2_vector__ivfflat_np8,representative_frame__B2_vector__flat,85,25,-0.00502935166017666,-0.012023957518004898,0.00014378917375723867,-0.01235792975186963,-1.0328248657683953e-05,0.0596,0.0488,5,76,4,0.2600727272727273,0.212
index,semantic,representative_frame__B2_vector__ivfflat_np8,representative_frame__B2_vector__flat,85,25,-0.009862243458156958,-0.01811932538952286,-0.002857312657541039,-0.023844273765500003,-0.00023869498508058355,0.0026,0.0436,6,69,10,0.017828571428571426,0.18198260869565216
index,strict,representative_frame__B3_postfilter__ivfflat_np8,representative_frame__B3_postfilter__flat,85,25,-0.02550997885094513,-0.041460785718073906,-0.01112065816760376,-0.04298339026942992,-0.008707879514487317,0.0002,0.0006,15,45,25,0.0024000000000000002,0.0063999999999999994
index,semantic,representative_frame__B3_postfilter__ivfflat_np8,representative_frame__B3_postfilter__flat,85,25,-0.02550997885094513,-0.041460785718073906,-0.01112065816760376,-0.04298339026942992,-0.008707879514487317,0.0002,0.0006,15,45,25,0.001476923076923077,0.0096
index,strict,representative_frame__B4_prefilter__ivfflat_np8,representative_frame__B4_prefilter__flat,85,25,-0.031150597024697885,-0.048865686731208544,-0.015420251563133796,-0.0516636824433979,-0.009895628682246135,0.0,0.0006,16,42,27,0.0,0.0063999999999999994
index,semantic,representative_frame__B4_prefilter__ivfflat_np8,representative_frame__B4_prefilter__flat,85,25,-0.030538144997575768,-0.04777610302369621,-0.015050109224020714,-0.050572280697292527,-0.009791822633434331,0.0,0.0006,16,42,27,0.0,0.0096
index,strict,joint_image_caption__B2_vector__ivfflat_np8,joint_image_caption__B2_vector__flat,85,25,0.0022063543953105406,-0.002092412657379456,0.006514220143996499,-0.00281491664355141,0.007468060250436207,0.2998,0.3756,13,70,2,0.5643294117647059,0.6569142857142857
index,semantic,joint_image_caption__B2_vector__ivfflat_np8,joint_image_caption__B2_vector__flat,85,25,0.010002590608160606,0.002592852796764941,0.01780966052313445,0.00028692243766997654,0.01921307741439546,0.006,0.046,29,51,5,0.03637894736842105,0.18400000000000002
index,strict,joint_image_caption__B3_postfilter__ivfflat_np8,joint_image_caption__B3_postfilter__flat,85,25,0.004263064640666309,-0.009686691950327501,0.01833102617483293,-0.008015739057272982,0.019012986352514395,0.542,0.5002,26,44,15,0.9115076923076924,0.7944393442622952
index,semantic,joint_image_caption__B3_postfilter__ivfflat_np8,joint_image_caption__B3_postfilter__flat,85,25,0.004263064640666309,-0.009686691950327501,0.01833102617483293,-0.008015739057272982,0.019012986352514395,0.542,0.5002,26,44,15,0.7765970149253731,0.7387569230769231
index,strict,joint_image_caption__B4_prefilter__ivfflat_np8,joint_image_caption__B4_prefilter__flat,85,25,-0.001362996442817642,-0.017655207770455518,0.014410050750460509,-0.016382557373008772,0.01672924761989007,0.8738,0.9076,26,42,17,0.9532363636363637,0.9901090909090908
index,semantic,joint_image_caption__B4_prefilter__ivfflat_np8,joint_image_caption__B4_prefilter__flat,85,25,-0.0009449328952785855,-0.016991385822193346,0.014692193983169979,-0.015982601309930847,0.01687452001517356,0.9118,0.9494,26,42,17,0.9618989010989012,0.9984000000000001
index,strict,multi_frame__B2_vector__ivfflat_np8,multi_frame__B2_vector__flat,85,25,-0.0033376299679094366,-0.016523325590598676,0.008718287819594347,-0.011343931309519047,0.004643366897146791,0.5872,0.4014,15,61,9,0.9115076923076924,0.673655172413793
index,semantic,multi_frame__B2_vector__ivfflat_np8,multi_frame__B2_vector__flat,85,25,-0.04374517696938905,-0.06495093639312036,-0.02417718907648453,-0.09130691628502169,-0.003598694873678582,0.0,0.0192,9,46,30,0.0,0.10464
index,strict,multi_frame__B3_postfilter__ivfflat_np8,multi_frame__B3_postfilter__flat,85,25,-0.016368523892522614,-0.040728789663921704,0.0054973435108417405,-0.03023085158340934,-0.0028928283999771244,0.1492,0.02,18,49,18,0.37692631578947366,0.11294117647058823
