engine,condition,predicate,kind,pair,selectivity,subset,gt_cluster_med_rank,recall_at_10,r_lo,r_hi,p50_ms_clientRT,flat_cutoff,flat_path,filter_strategy
weaviate,w3,veh_density_bin==mid,natural,veh_density_bin==mid,0.27268,39220,30.9,0.961,0.9445,0.975,4.483,0,False,VectorFilterStrategy.ACORN
weaviate,w3,CTRL(s=0.2727)|veh_density_bin==mid,control,veh_density_bin==mid,0.27268,39220,19.6,0.987,0.981,0.992,7.318,0,False,VectorFilterStrategy.ACORN
weaviate,w3,veh_density_bin==high,natural,veh_density_bin==high,0.32931,47365,58.1,0.941,0.9145,0.9645,6.149,0,False,VectorFilterStrategy.ACORN
weaviate,w3,CTRL(s=0.3293)|veh_density_bin==high,control,veh_density_bin==high,0.32931,47365,16.4,0.986,0.977,0.993,5.103,0,False,VectorFilterStrategy.ACORN
weaviate,w3,hour==6,natural,hour==6,0.06983,10043,188.9,0.982,0.968,0.992,4.362,0,False,VectorFilterStrategy.ACORN
weaviate,w3,CTRL(s=0.0698)|hour==6,control,hour==6,0.06983,10043,77.1,0.9315,0.9165,0.9445,4.529,0,False,VectorFilterStrategy.ACORN
weaviate,w3,hour==7,natural,hour==7,0.07033,10115,107.6,0.957,0.9355,0.9755,6.396,0,False,VectorFilterStrategy.ACORN
weaviate,w3,CTRL(s=0.0703)|hour==7,control,hour==7,0.07033,10115,74.7,0.9355,0.924,0.9465,5.754,0,False,VectorFilterStrategy.ACORN
weaviate,w3,hour==8,natural,hour==8,0.07039,10124,104.8,0.966,0.9455,0.983,4.964,0,False,VectorFilterStrategy.ACORN
weaviate,w3,CTRL(s=0.0704)|hour==8,control,hour==8,0.07039,10124,75.2,0.9385,0.927,0.949,7.477,0,False,VectorFilterStrategy.ACORN
weaviate,w3,hour==9,natural,hour==9,0.0467,6717,162.6,0.9345,0.9035,0.9605,5.366,0,False,VectorFilterStrategy.ACORN
weaviate,w3,CTRL(s=0.0467)|hour==9,control,hour==9,0.0467,6717,120.6,0.872,0.849,0.892,4.07,0,False,VectorFilterStrategy.ACORN
weaviate,w3,hour==13,natural,hour==13,0.02319,3336,278.2,0.9255,0.898,0.95,7.498,0,False,VectorFilterStrategy.ACORN
weaviate,w3,CTRL(s=0.0232)|hour==13,control,hour==13,0.02319,3336,230.3,0.7135,0.6845,0.741,7.587,0,False,VectorFilterStrategy.ACORN
weaviate,w3,hour==14,natural,hour==14,0.11434,16446,104.7,0.9725,0.954,0.9875,5.335,0,False,VectorFilterStrategy.ACORN
weaviate,w3,CTRL(s=0.1143)|hour==14,control,hour==14,0.11434,16446,46.0,0.973,0.9655,0.98,5.574,0,False,VectorFilterStrategy.ACORN
