protocol,repeat,doc_id,expected_version,expected_deleted,expected_epoch,dense_version,sparse_version,cache_version,stale,future,mixed,missing,answer_error,update_window,latency_ms
naive_eager,0,106,2,0,0,2,1,1,1,0,1,0,1,1,11.551998555660248
naive_eager,0,11,1,0,0,1,1,1,0,0,0,0,0,1,11.831067502498627
naive_eager,0,4,2,0,0,2,2,1,1,0,1,0,1,1,11.221243999898434
naive_eager,0,93,2,1,0,,,,0,0,0,0,0,1,10.972419753670692
naive_eager,0,70,2,0,0,1,1,1,1,0,0,1,1,1,10.797036811709404
naive_eager,0,25,2,0,0,1,1,1,1,0,0,1,1,1,10.702011175453663
naive_eager,0,16,1,0,0,1,1,1,0,0,0,0,0,1,11.008388362824917
naive_eager,0,30,2,0,0,2,2,1,1,0,1,0,1,1,11.069339700043201
naive_eager,0,70,2,0,0,1,1,1,1,0,0,1,1,1,11.143572628498077
naive_eager,0,110,2,0,0,1,1,1,1,0,0,1,1,1,10.684262961149216
naive_eager,0,101,2,0,0,2,2,1,1,0,1,0,1,1,24.179200641810894
naive_eager,0,84,1,0,0,1,1,1,0,0,0,0,0,1,21.23698964715004
naive_eager,0,38,1,0,0,1,1,1,0,0,0,0,0,1,20.861071534454823
naive_eager,0,99,2,0,0,2,2,2,0,0,0,0,0,1,30.65374307334423
naive_eager,0,79,2,1,0,,,1,1,0,0,0,1,1,11.184252798557281
naive_eager,0,101,2,0,0,2,2,1,1,0,1,0,1,1,10.683299042284489
naive_eager,0,53,2,0,0,2,2,1,1,0,1,0,1,1,11.29832398146391
naive_eager,0,25,2,0,0,2,2,1,1,0,1,0,1,1,10.398236103355885
naive_eager,0,110,2,0,0,2,2,1,1,0,1,0,1,1,10.899769142270088
naive_eager,0,29,1,0,0,1,1,1,0,0,0,0,0,1,10.949743911623955
naive_eager,0,4,2,0,0,2,2,1,1,0,1,0,1,1,10.895177721977234
naive_eager,0,76,1,0,0,1,1,1,0,0,0,0,0,1,10.237465612590313
naive_eager,0,92,1,0,0,1,1,1,0,0,0,0,0,0,7.6679447665810585
naive_eager,0,79,2,1,0,,,,0,0,0,0,0,0,13.417835347354412
naive_eager,0,79,2,1,0,,,,0,0,0,0,0,0,10.712070390582085
naive_eager,0,20,2,0,0,2,2,2,0,0,0,0,0,0,11.008769273757935
naive_eager,0,74,2,0,0,2,2,2,0,0,0,0,0,1,10.941938497126102
naive_eager,0,20,2,0,0,2,2,2,0,0,0,0,0,1,11.565878987312317
naive_eager,0,53,2,0,0,2,2,2,0,0,0,0,0,1,11.518771760165691
naive_eager,0,94,2,0,0,2,2,2,0,0,0,0,0,1,11.832857504487038
naive_eager,0,85,1,0,0,1,1,1,0,0,0,0,0,1,14.165366999804974
naive_eager,0,37,2,0,0,1,1,1,1,0,0,1,1,1,20.85923496633768
naive_eager,0,109,2,0,0,1,1,1,1,0,0,1,1,1,28.124980628490448
naive_eager,0,43,2,0,0,1,1,1,1,0,0,1,1,1,21.83128520846367
naive_eager,0,16,2,0,0,1,1,1,1,0,0,1,1,1,11.030660010874271
naive_eager,0,113,1,0,0,1,1,1,0,0,0,0,0,1,11.25665009021759
naive_eager,0,8,1,0,0,1,1,1,0,0,0,0,0,1,11.286452412605286
naive_eager,0,100,2,0,0,2,2,2,0,0,0,0,0,1,10.946141555905342
naive_eager,0,55,2,0,0,1,1,1,1,0,0,1,1,1,10.561549104750156
naive_eager,0,46,2,1,0,1,1,1,1,0,0,0,1,1,10.242718271911144
naive_eager,0,80,2,0,0,1,1,1,1,0,0,1,1,1,11.047027073800564
naive_eager,0,63,2,0,0,1,1,1,1,0,0,1,1,1,11.30090095102787
naive_eager,0,112,1,0,0,1,1,1,0,0,0,0,0,1,11.198165826499462
naive_eager,0,4,2,0,0,2,2,2,0,0,0,0,0,1,22.374658845365047
naive_eager,0,62,2,0,0,2,1,1,1,0,1,0,1,1,19.925895147025585
naive_eager,0,55,2,0,0,1,1,1,1,0,0,1,1,1,25.48572327941656
naive_eager,0,37,2,0,0,1,1,1,1,0,0,1,1,1,34.883021377027035
naive_eager,0,80,2,0,0,2,1,1,1,0,1,0,1,1,10.066634975373745
