dataset,query_id,difficulty,event_type,event_family,contract_family,cluster,positive_count,candidate_count,representation,vector_bytes_per_clip,ndcg_at_10,hit_at_10,recall_at_10
VRU,vru2:location:0023,location,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,32,111,center_frame,2048,0.2863459897524693,1.0,0.0625
VRU,vru2:location:0023,location,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,32,111,visual_4frame,8192,0.2895229882348575,1.0,0.0625
VRU,vru2:location:0023,location,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,32,111,fusion,12288,0.45953262310069537,1.0,0.125
VRU,vru2:location:0024,location,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,6,6,caption,4096,1.0,1.0,1.0
VRU,vru2:location:0024,location,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,6,6,center_frame,2048,1.0,1.0,1.0
VRU,vru2:location:0024,location,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,6,6,visual_4frame,8192,1.0,1.0,1.0
VRU,vru2:location:0024,location,ego-car hits a crossing pedestrian,dynamic_event,context_filtered,VRU|ego-car hits a crossing pedestrian,6,6,fusion,12288,1.0,1.0,1.0
VRU,vru2:nofilter:0025,nofilter,car hits cyclist,dynamic_event,open_event,VRU|car hits cyclist,118,1000,caption,4096,0.6785038377365556,1.0,0.05084745762711865
VRU,vru2:nofilter:0025,nofilter,car hits cyclist,dynamic_event,open_event,VRU|car hits cyclist,118,1000,center_frame,2048,0.4480300279758385,1.0,0.03389830508474576
VRU,vru2:nofilter:0025,nofilter,car hits cyclist,dynamic_event,open_event,VRU|car hits cyclist,118,1000,visual_4frame,8192,0.6177639991612476,1.0,0.0423728813559322
VRU,vru2:nofilter:0025,nofilter,car hits cyclist,dynamic_event,open_event,VRU|car hits cyclist,118,1000,fusion,12288,0.6594803070902427,1.0,0.05084745762711865
VRU,vru2:weather_light:0026,weather_light,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,100,695,caption,4096,0.5887498202463202,1.0,0.05
VRU,vru2:weather_light:0026,weather_light,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,100,695,center_frame,2048,0.23440650992329992,1.0,0.03
VRU,vru2:weather_light:0026,weather_light,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,100,695,visual_4frame,8192,0.3024038304938509,1.0,0.03
VRU,vru2:weather_light:0026,weather_light,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,100,695,fusion,12288,0.6987957033953602,1.0,0.06
VRU,vru2:weather_light:0027,weather_light,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,10,54,caption,4096,0.8357804136936722,1.0,0.8
VRU,vru2:weather_light:0027,weather_light,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,10,54,center_frame,2048,0.14465249243306438,1.0,0.2
VRU,vru2:weather_light:0027,weather_light,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,10,54,visual_4frame,8192,0.0,0.0,0.0
VRU,vru2:weather_light:0027,weather_light,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,10,54,fusion,12288,0.39401519638101345,1.0,0.5
VRU,vru2:weather_light:0028,weather_light,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,6,110,caption,4096,0.5058520011127917,1.0,0.5
VRU,vru2:weather_light:0028,weather_light,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,6,110,center_frame,2048,0.0,0.0,0.0
VRU,vru2:weather_light:0028,weather_light,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,6,110,visual_4frame,8192,0.0,0.0,0.0
VRU,vru2:weather_light:0028,weather_light,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,6,110,fusion,12288,0.0874717141014082,1.0,0.16666666666666666
VRU,vru2:road_type:0029,road_type,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,61,241,caption,4096,0.7026305163854646,1.0,0.11475409836065574
VRU,vru2:road_type:0029,road_type,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,61,241,center_frame,2048,0.6601585067762745,1.0,0.09836065573770492
VRU,vru2:road_type:0029,road_type,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,61,241,visual_4frame,8192,0.5396413938630011,1.0,0.08196721311475409
VRU,vru2:road_type:0029,road_type,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,61,241,fusion,12288,0.8630152897016883,1.0,0.13114754098360656
VRU,vru2:road_type:0030,road_type,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,35,584,caption,4096,0.67175898907361,1.0,0.17142857142857143
VRU,vru2:road_type:0030,road_type,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,35,584,center_frame,2048,0.21819512777735,1.0,0.08571428571428572
VRU,vru2:road_type:0030,road_type,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,35,584,visual_4frame,8192,0.0,0.0,0.0
VRU,vru2:road_type:0030,road_type,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,35,584,fusion,12288,0.5428183923453894,1.0,0.14285714285714285
VRU,vru2:road_type:0031,road_type,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,21,133,caption,4096,0.3476293915547283,1.0,0.19047619047619047
VRU,vru2:road_type:0031,road_type,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,21,133,center_frame,2048,0.3476293915547283,1.0,0.19047619047619047
VRU,vru2:road_type:0031,road_type,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,21,133,visual_4frame,8192,0.314880130667631,1.0,0.09523809523809523
VRU,vru2:road_type:0031,road_type,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,21,133,fusion,12288,0.4847119890255186,1.0,0.19047619047619047
VRU,vru2:location:0032,location,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,107,873,caption,4096,0.6036081270984909,1.0,0.06542056074766354
VRU,vru2:location:0032,location,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,107,873,center_frame,2048,0.3241295975188818,1.0,0.037383177570093455
VRU,vru2:location:0032,location,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,107,873,visual_4frame,8192,0.22212782793993277,1.0,0.028037383177570093
VRU,vru2:location:0032,location,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,107,873,fusion,12288,0.7280855459907166,1.0,0.06542056074766354
VRU,vru2:location:0033,location,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,11,111,caption,4096,0.5263304097820354,1.0,0.45454545454545453
VRU,vru2:location:0033,location,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,11,111,center_frame,2048,0.15840915256850252,1.0,0.18181818181818182
VRU,vru2:location:0033,location,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,11,111,visual_4frame,8192,0.36792125721353286,1.0,0.2727272727272727
VRU,vru2:location:0033,location,car hits cyclist,dynamic_event,context_filtered,VRU|car hits cyclist,11,111,fusion,12288,0.6122496142821666,1.0,0.45454545454545453
VRU,vru2:nofilter:0034,nofilter,ego-car hits a crossing cyclist,dynamic_event,open_event,VRU|ego-car hits a crossing cyclist,78,1000,caption,4096,0.0,0.0,0.0
VRU,vru2:nofilter:0034,nofilter,ego-car hits a crossing cyclist,dynamic_event,open_event,VRU|ego-car hits a crossing cyclist,78,1000,center_frame,2048,0.0,0.0,0.0
VRU,vru2:nofilter:0034,nofilter,ego-car hits a crossing cyclist,dynamic_event,open_event,VRU|ego-car hits a crossing cyclist,78,1000,visual_4frame,8192,0.0,0.0,0.0
VRU,vru2:nofilter:0034,nofilter,ego-car hits a crossing cyclist,dynamic_event,open_event,VRU|ego-car hits a crossing cyclist,78,1000,fusion,12288,0.08514311764162101,1.0,0.01282051282051282
VRU,vru2:weather_light:0035,weather_light,ego-car hits a crossing cyclist,dynamic_event,context_filtered,VRU|ego-car hits a crossing cyclist,65,695,caption,4096,0.15457433957839828,1.0,0.03076923076923077
VRU,vru2:weather_light:0035,weather_light,ego-car hits a crossing cyclist,dynamic_event,context_filtered,VRU|ego-car hits a crossing cyclist,65,695,center_frame,2048,0.0,0.0,0.0
VRU,vru2:weather_light:0035,weather_light,ego-car hits a crossing cyclist,dynamic_event,context_filtered,VRU|ego-car hits a crossing cyclist,65,695,visual_4frame,8192,0.0,0.0,0.0
VRU,vru2:weather_light:0035,weather_light,ego-car hits a crossing cyclist,dynamic_event,context_filtered,VRU|ego-car hits a crossing cyclist,65,695,fusion,12288,0.0,0.0,0.0
VRU,vru2:weather_light:0036,weather_light,ego-car hits a crossing cyclist,dynamic_event,context_filtered,VRU|ego-car hits a crossing cyclist,6,110,caption,4096,0.10086747116627115,1.0,0.16666666666666666
VRU,vru2:weather_light:0036,weather_light,ego-car hits a crossing cyclist,dynamic_event,context_filtered,VRU|ego-car hits a crossing cyclist,6,110,center_frame,2048,0.2521686779156779,1.0,0.3333333333333333
VRU,vru2:weather_light:0036,weather_light,ego-car hits a crossing cyclist,dynamic_event,context_filtered,VRU|ego-car hits a crossing cyclist,6,110,visual_4frame,8192,0.0,0.0,0.0
VRU,vru2:weather_light:0036,weather_light,ego-car hits a crossing cyclist,dynamic_event,context_filtered,VRU|ego-car hits a crossing cyclist,6,110,fusion,12288,0.20453430723937174,1.0,0.3333333333333333
VRU,vru2:road_type:0037,road_type,ego-car hits a crossing cyclist,dynamic_event,context_filtered,VRU|ego-car hits a crossing cyclist,28,241,caption,4096,0.07839826897867534,1.0,0.03571428571428571
VRU,vru2:road_type:0037,road_type,ego-car hits a crossing cyclist,dynamic_event,context_filtered,VRU|ego-car hits a crossing cyclist,28,241,center_frame,2048,0.0,0.0,0.0
VRU,vru2:road_type:0037,road_type,ego-car hits a crossing cyclist,dynamic_event,context_filtered,VRU|ego-car hits a crossing cyclist,28,241,visual_4frame,8192,0.0,0.0,0.0
VRU,vru2:road_type:0037,road_type,ego-car hits a crossing cyclist,dynamic_event,context_filtered,VRU|ego-car hits a crossing cyclist,28,241,fusion,12288,0.0,0.0,0.0
VRU,vru2:road_type:0038,road_type,ego-car hits a crossing cyclist,dynamic_event,context_filtered,VRU|ego-car hits a crossing cyclist,24,584,caption,4096,0.06362078819895173,1.0,0.041666666666666664
VRU,vru2:road_type:0038,road_type,ego-car hits a crossing cyclist,dynamic_event,context_filtered,VRU|ego-car hits a crossing cyclist,24,584,center_frame,2048,0.0,0.0,0.0
VRU,vru2:road_type:0038,road_type,ego-car hits a crossing cyclist,dynamic_event,context_filtered,VRU|ego-car hits a crossing cyclist,24,584,visual_4frame,8192,0.0,0.0,0.0
