clip_id,cot_1view_bytes,cot_2view_bytes,visual_1view_bytes,visual_2view_bytes
aihub_multi_angle_cctv:Validation:ab_e0703,4383,8765,114848,211143
aihub_multi_angle_cctv:Training:ph_e2046,4374,8717,140874,286854
aihub_multi_angle_cctv:Training:ms_e3465,4381,8753,93036,240847
aihub_multi_angle_cctv:Validation:ms_e3335,4364,8715,147844,303550
aihub_multi_angle_cctv:Training:md_e2158,4420,8833,171485,276983
aihub_multi_angle_cctv:Validation:md_e2444,4388,8833,213573,369674
aihub_multi_angle_cctv:Training:mp_e2874,4583,9156,177100,337401
aihub_multi_angle_cctv:Validation:mp_e2949,4413,8864,94855,265790
aihub_multi_angle_cctv:Training:bs_e4482,4379,8712,90177,236980
aihub_multi_angle_cctv:Validation:bs_e4446,4332,8691,186693,351130
aihub_multi_angle_cctv:Training:st_e4738,4406,8834,145349,293370
aihub_multi_angle_cctv:Validation:st_e4987,4452,8936,191017,334697
aihub_multi_angle_cctv:Training:es_e3976,4367,8735,139461,310444
aihub_multi_angle_cctv:Validation:es_e3974,4390,8785,133993,305408
aihub_multi_angle_cctv:Training:lo_e1138,4424,8836,163996,325537
aihub_multi_angle_cctv:Validation:lo_e1220,4397,8763,151509,314346
aihub_multi_angle_cctv:Training:fp_e1932,4338,8665,170472,278323
aihub_multi_angle_cctv:Validation:fp_e1662,4370,8721,168308,311484
aihub_multi_angle_cctv:Training:ab_e0698,4368,8778,97275,211853
aihub_multi_angle_cctv:Validation:ab_e0706,4461,8902,95246,209981
aihub_multi_angle_cctv:Training:ph_e2053,4373,8714,151017,295089
aihub_multi_angle_cctv:Training:ms_e3565,4354,8695,163571,308134
aihub_multi_angle_cctv:Validation:ms_e3413,4322,8639,167946,350048
aihub_multi_angle_cctv:Training:md_e2555,4377,8747,87252,206552
aihub_multi_angle_cctv:Validation:md_e2177,4388,8787,173032,278022
aihub_multi_angle_cctv:Training:mp_e3004,4450,8853,113693,260502
aihub_multi_angle_cctv:Validation:mp_e3104,4523,9003,166084,345782
aihub_multi_angle_cctv:Training:bs_e4230,4331,8660,168523,311395
aihub_multi_angle_cctv:Validation:bs_e4664,4383,8813,137250,324087
aihub_multi_angle_cctv:Training:st_e4785,4610,9124,167501,340478
aihub_multi_angle_cctv:Validation:st_e5015,4450,8825,163405,252088
aihub_multi_angle_cctv:Training:es_e4097,4363,8743,167177,332923
aihub_multi_angle_cctv:Validation:es_e4106,4382,8728,149263,337256
aihub_multi_angle_cctv:Training:lo_e1230,4324,8658,152701,314642
aihub_multi_angle_cctv:Training:fp_e1563,4432,8907,134504,306458
aihub_multi_angle_cctv:Validation:fp_e1487,4330,8707,160904,287526
aihub_multi_angle_cctv:Training:ab_e0711,4334,8665,115203,211639
aihub_multi_angle_cctv:Validation:ab_e0671,4310,8663,124993,222932
aihub_multi_angle_cctv:Training:ph_e2045,4352,8670,142854,289680
aihub_multi_angle_cctv:Training:ms_e3644,4431,8815,162529,299491
aihub_multi_angle_cctv:Validation:ms_e3626,4395,8845,134143,291946
aihub_multi_angle_cctv:Training:md_e2606,4429,8910,140248,257474
aihub_multi_angle_cctv:Validation:md_e2386,4418,8786,119272,214959
aihub_multi_angle_cctv:Training:mp_e3008,4436,8856,147016,257434
aihub_multi_angle_cctv:Validation:mp_e2977,4520,9032,147221,268090
aihub_multi_angle_cctv:Training:bs_e4572,4412,8820,142364,329475
