domain,protocol,repeat,steady_ok,readiness_ok,worker_errors,waves_completed,queries_all,queries_update,error_rate_update,stale_rate_update,mixed_rate_update,missing_rate_update,p50_latency_ms_update,p95_latency_ms_update,p99_latency_ms_update,p50_wave_ms,p95_wave_ms,ideal_changed_rows,dense_rows_written,sparse_rows_written,physical_rows_written,manifest_rows_written,write_amplification
kubernetes,cross_naive,2,True,True,[],10,2537,2481,0.762192664248287,0.762192664248287,0.6848045143087464,0.7565497783151954,18.582655116915703,54.30716369301081,90.4781736433505,762.3364040628076,1135.6763008981943,4720,4720,4720,9440,100,1.0
kubernetes,cross_read_filter,0,True,True,[],10,2467,2410,0.7228215767634855,0,0,0.7228215767634855,19.99521115794778,60.91093453578631,92.74233966134469,886.9207473471761,1122.579090343788,4720,4720,4720,9440,100,1.0
kubernetes,cross_read_filter,1,True,True,[],10,2798,2750,0.6956363636363636,0,0,0.6956363636363636,17.584857530891895,53.08079747483133,87.91534340009072,849.3041517212987,1183.894775342196,4720,4720,4720,9440,100,1.0
kubernetes,cross_read_filter,2,True,True,[],10,2486,2443,0.7044617273843635,0,0,0.7044617273843635,19.50850896537304,54.792466945946245,100.64781673252571,914.1836701892316,1109.958851756528,4720,4720,4720,9440,100,1.0
kubernetes,cross_staged,0,True,True,[],10,2465,2418,0,0,0,0,18.35953537374735,56.26596640795469,97.50268997624501,747.293034568429,1136.8995706550777,4720,4720,4720,9440,100,1.0
kubernetes,cross_staged,1,True,True,[],10,2409,2364,0,0,0,0,17.085691448301077,50.45630340464412,81.48195528425255,742.6254278980196,1026.3388154562563,4720,4720,4720,9440,100,1.0
kubernetes,cross_staged,2,True,True,[],10,2552,2509,0,0,0,0,17.659420147538185,53.381299413740614,91.79290231317282,796.4326585642993,1018.2781970594077,4720,4720,4720,9440,100,1.0
kubernetes,cross_blue_green,0,True,True,[],10,16420,16381,0,0,0,0,19.735977984964848,70.84902282804251,96.9663949683309,6124.774402938783,6450.584594951943,4720,46717,46717,93434,110,9.897669491525424
kubernetes,cross_blue_green,1,True,True,[],10,18588,18533,0,0,0,0,19.1657030954957,69.44831013679503,96.75368197262287,6583.7359563447535,6836.6104607935995,4720,46717,46717,93434,110,9.897669491525424
kubernetes,cross_blue_green,2,True,True,[],10,17406,17365,0,0,0,0,20.155378617346287,71.05686031281945,97.44343120604755,6306.385215371847,6896.971135120839,4720,46717,46717,93434,110,9.897669491525424
kubernetes,pg_atomic,0,True,True,[],10,2356,2248,0,0,0,0,6.789476610720158,20.50499548204245,57.18708913773315,293.94129617139697,445.01273366622627,4720,4720,4720,4720,100,1.0
kubernetes,pg_atomic,1,True,True,[],10,2369,2272,0,0,0,0,7.140247616916895,22.216207673773134,62.51961793750523,316.77040876820683,404.63375947438175,4720,4720,4720,4720,100,1.0
kubernetes,pg_atomic,2,True,True,[],10,2338,2244,0,0,0,0,7.737636566162109,22.609514417126757,64.63881167583178,355.3039934486151,408.58523179776967,4720,4720,4720,4720,100,1.0
